REDE VALLEY I BATEINGHOPE BURN,,,,,,,,,,,,,,,,,,,,
Grid ref,NT676030,Long,-2.5121051,Lat,55.319996,Elevation,1730,ft,,,,,,,,,,,,
Station no,RR7550,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,1.6,3.45,1.35,3.05,6.75,4.65,2.8,,,,,,,,
February,,,,,,0.85,2.9,3.75,3.3,3.45,2.85,1.52,,,,,,,,
March,,,,,,4.6,4.95,5.2,1.45,3.35,0.85,2.5,,,,,,,,
April,,,,,,2.9,2.35,2.7,4.05,5.1,3.65,2.36,,,,,,,,
May,,,,,,0.95,1.3,2.4,2.7,3.4,3.35,2.78,,,,,,,,
June,,,,,,1.55,2.95,3.8,2.5,1.34,5.35,2.4,,,,,,,,
July,,,,,,5.1,3.65,3.65,1.46,5.15,3.15,2.29,,,,,,,,
August,,,,,,5.4,2.95,6.9,4.9,0.96,7.78,4.42,,,,,,,,
September,,,,,,1.05,6,3.6,3,3.8,3.61,2.8,,,,,,,,
October,,,,,,6.45,7.5,3,5.8,4.1,5.88,3.57,,,,,,,,
November,,,,,,6.35,1.75,5.05,5.3,5.9,5.94,3.69,,,,,,,,
December,,,,,,3,6.8,6.8,8.8,2.7,9.65,3.6,,,,,,,,
Total,,,,,,39.8,46.55,48.2,46.31,46,56.71,34.73,,,,,,,,
