LANCASTER ROBERT STREET,,,,,,,,,,,,
Grid ref,SD479615,Long,-2.797188,Lat,54.046820,,,,,,,
Station no,RR6953,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,4.52,2.08,4.80,1.93,4.17,2.07,,
February,,,,,3.87,1.78,3.11,1.63,2.16,2.65,,
March,,,,,2.63,2.63,3.04,3.99,2.77,3.21,,
April,,,,,3.70,2.96,1.68,1.54,2.36,3.56,,
May,,,,,3.28,1.49,5.27,4.63,3.12,2.09,,
June,,,,,1.53,2.28,2.40,7.27,2.79,1.86,,
July,,,,,1.39,1.58,2.15,2.75,3.48,6.41,,
August,,,,,2.97,4.66,5.15,4.53,4.95,4.63,,
September,,,,,1.96,3.34,0.96,0.77,4.75,2.79,,
October,,,,,3.36,2.75,6.79,5.21,2.13,5.97,,
November,,,,,2.89,4.11,3.61,4.11,4.28,1.90,,
December,,,,,3.23,1.33,3.36,5.19,3.23,8.04,,
Total,,,,,35.33,30.99,42.32,43.55,40.19,45.18,,
Calc annual,0.00,0.00,0.00,0.00,35.33,30.99,42.32,43.55,40.19,45.18,,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,,
