LANCASTER ROBERT STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD479615,Long,-2.797188,Lat,54.04682,Elevation,62,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,4.52,2.08,4.8,1.93,4.17,2.07,5.13,1.52,2.82,4.5,4.04,5.78,3.81,2.54,4.24,5.58,4.15,,,,,,,,,,
February,,,,,3.87,1.78,3.11,1.63,2.16,2.65,4.74,4.81,2.19,2.2,4.36,4.93,3.19,1.23,4.17,1.59,3.01,,,,,,,,,,
March,,,,,2.63,2.63,3.04,3.99,2.77,3.21,1.41,1.63,6.05,3.88,4.93,2.27,1.84,2.4,1.74,4.78,5.5,,,,,,,,,,
April,,,,,3.7,2.96,1.68,1.54,2.36,3.56,2.42,3.34,0.73,4.85,0.9,3.06,2.83,1.68,1.31,2.04,4.93,,,,,,,,,,
May,,,,,3.28,1.49,5.27,4.63,3.12,2.09,1.81,1.78,1.62,2.62,2.73,1.34,4.04,2.15,2.21,1.84,5.91,,,,,,,,,,
June,,,,,1.53,2.28,2.4,7.27,2.79,1.86,2.05,3.18,5.48,2.28,1.39,1.05,2.44,3.28,2.27,2.07,2.5,,,,,,,,,,
July,,,,,1.39,1.58,2.15,2.75,3.48,6.41,4.51,0.95,5.71,1.25,5.11,4.12,2.11,1.14,4.21,1.57,6.99,,,,,,,,,,
August,,,,,2.97,4.66,5.15,4.53,4.95,4.63,5.96,4.36,4.46,2.06,3.14,4.11,3.87,7.87,4.36,4.32,2.39,,,,,,,,,,
September,,,,,1.96,3.34,0.96,0.77,4.75,2.79,0.46,4.45,1.67,4.04,3.14,1.07,3.29,3.96,8.71,2.86,3.06,,,,,,,,,,
October,,,,,3.36,2.75,6.79,5.21,2.13,5.97,2.67,4.37,4.06,2.85,1.84,1.08,7.79,5.89,4.64,3.09,1.43,,,,,,,,,,
November,,,,,2.89,4.11,3.61,4.11,4.28,1.9,4.82,5.32,5.15,4.93,5.28,1.67,3.47,4.57,2.79,2.87,3.16,,,,,,,,,,
December,,,,,3.23,1.33,3.36,5.19,3.23,8.04,3.89,7.4,4.32,3.12,6.2,7.24,3.38,2.26,7.99,5.8,3.08,,,,,,,,,,
Total,,,,,35.33,30.99,42.32,43.55,40.19,45.18,39.87,43.11,44.26,38.58,43.06,37.72,42.06,38.97,48.64,38.41,46.11,,,,,,,,,,
