EALING-CASTLEBAR-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ174811,Long,-0.30943918,Lat,51.516632,Elevation,100,ft.,,,,,,,,,,,,
Station no,RR1720,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,2.83,0.89,,4.28,,1.29,3.69,,,,
February,,,,,,,,,,2.34,1.59,,0.98,,1.4,1.18,,,,
March,,,,,,,,,,1.31,2.08,,1.97,,0.48,0.63,,,,
April,,,,,,,,,,1.72,0.17,,1.36,,1.19,1.37,,,,
May,,,,,,,,,,3.42,0.86,,3.04,,0.65,1.49,,,,
June,,,,,,,,,,1.15,0.59,,2.6,,3.23,2.37,,,,
July,,,,,,,,,,0.9,0.52,,1.76,,0.87,4.48,,,,
August,,,,,,,,,,1.55,2.36,,1.62,,1.35,0.8,,,,
September,,,,,,,,,,3.98,1.51,,1.81,,1.58,1.92,,,,
October,,,,,,,,,,1.11,2.97,,4.37,,4.04,3.98,,,,
November,,,,,,,,,,2.37,1.28,,2.95,,2.31,3.18,,,,
December,,,,,,,,,,2.86,2.88,,4.26,,1.47,1.21,,,,
Total,,,,,,,,,,25.54,17.7,,31,,19.86,26.3,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is Castle Bar Road where the gauge was located before moving to a Public Building on Longfield Avenue in 1879.,,,,,,,,,,,,,,,,,,,,
