ROTHERHAM ULLEY RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK455874,Long,-1.317448,Lat,53.381497,Elevation,184,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,2.1,1.24,3.58,1.56,0.84,0.13,0.36,2.61,2.6,3.02,1.07,3.19,1.45,0.48,1.31,2.48,1.19,0.76,1.17,1.33,2.73,,2.37,0.41,2.25,2.45,0.86,0.7,2.21,1.88,0.46,2.19,0.37,0.92,0.89,1.41,0.8,2.68,1.96,0.81,2.87,0.59,1.84,0.94,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,1.11,2.13,1.99,0.91,2.24,1.62,2.87,1.38,1.66,1.4,1.94,0.43,0.51,0.87,0.89,0.8,0.03,2.15,2.46,2.52,0.15,1.5,2.71,0.54,1.47,2.61,0.84,1.4,1.3,3.36,0.84,1.83,1.07,1.06,0.43,1.95,1.06,3.47,0.86,0.99,2.74,3.3,0.52,1.4,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,0.64,2.55,2.07,0.5,0.85,1.81,2.33,0.97,1.02,1.25,1,1.81,1.06,2.3,3.29,1.32,1.03,0.76,0.34,0.7,2,1.81,2.26,0.86,0.38,0.37,1.35,1.17,2.56,1.67,1.87,1.02,1.08,2.29,2.27,0.38,0.63,2.73,2.54,1.36,0.63,4.45,1.36,0.98,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,0.6,1.67,2.96,1.4,2.32,1.03,0.74,2.57,2.82,1.64,1.36,1.6,0.77,2.01,3.07,0.38,1.62,0.7,0.3,1.99,1.94,0.86,1.3,3.24,1.33,0.57,1.15,2.35,1.41,1.74,1.7,0.34,1.3,1.49,0.88,1.72,0.75,0.12,2.71,0.72,0.71,0.35,0.87,1.21,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,1.17,0.65,3.43,3.37,2.4,1.87,1.45,1.73,1.59,0.71,1.47,5.72,1.37,0.55,4.42,2.39,3.09,2.49,2.47,1.27,0.5,0.52,0.92,2.09,2,0.94,1.13,2.42,2.61,2.16,0.47,1.22,3.46,2.23,1.23,1.7,0.83,2.69,1.98,1.11,1.58,2.1,1.69,2.22,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,0.66,2.37,2.95,1.96,2.5,3.47,3.15,1.61,3.28,3.17,0.7,2.29,0.78,0.26,2.12,0.44,1.8,2.24,2.73,1,1.04,1.31,2.7,1.77,1.2,2.02,2.11,1.11,1.07,1.15,0.23,2.33,1.78,2.59,1.25,3.47,2.28,2.09,3.26,0.57,2.42,1.26,1,1.39,0.5,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,0.99,3.83,1.62,2.53,0.68,3.11,4.72,0.99,2.04,1.92,2.37,0.59,3.76,1.94,4.53,1.18,2,1.58,1.33,2.62,2.65,4.34,0.96,0.42,2.72,1.27,2.35,2.6,1.85,1.63,2.37,1.4,1.16,1.81,1.96,3.38,2.66,0.07,5.27,1.35,3.25,3.55,0.97,0.63,3.62,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,2.45,4.54,1.09,3.87,6.2,2.85,1.73,4.43,1.79,0.86,1.31,2.7,1.44,2.19,2.03,2.55,2.26,2.36,1.61,1.61,1.85,1.86,1.42,2.03,3.27,0.76,4.11,0.85,3.32,2.98,3.14,2.13,1.92,1.59,1.88,2.16,3.1,1.41,4.52,2.05,1.47,2.07,1.76,3.9,1.46,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,1.53,2.11,3.52,3.15,1.79,1.71,4.7,1.88,2.16,4.48,1.16,1.77,0.86,1.67,1.11,1.62,1.45,1.47,1.61,0.97,0.42,0.52,3.15,1.59,0.25,2.58,0.7,0.94,0.93,2.51,0.9,1.13,0.71,0.26,1.13,2.22,0.2,1.51,0.89,2.46,0.97,0.7,0.88,0.52,4.62,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,2.36,4.06,2.35,1.72,2.65,0.75,6.2,2.56,3.87,2.84,0.64,5.62,4.13,1.81,0.42,3.38,0.76,2.77,6.02,1.42,2.9,2.74,2.88,0.76,2.44,2.55,2.04,1.33,2.48,4.2,0.43,1.03,4.3,4.72,0.74,1.69,2.56,1.71,2.04,3.19,2.11,0.96,1.44,2.13,0.81,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
