ROTHERHAM ULLEY RES (No 3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK453876,Long,-1.320425,Lat,53.383312,Elevation,132,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,3.25,0.66,1.5,1.95,2.28,1.18,3.9,1.28,3.65,1.5,1.07,2.07,1.74,1.18,2.55,4.03,2.23,4.75,3.22,4.07,1.57,4.11,2.8,1.8,2.58,2.27,4.71,0.54,1.05,1.88,2.08,0.32,1.14,2.13,3.74,1.06,2.23,1.97,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,2.36,3.97,0.99,3.07,1.24,1.38,2.34,0.83,0.77,2.07,0.29,3.58,0.8,3.03,2.68,3.56,0.77,0.91,2.29,2.36,0.6,0.82,1.62,1.68,2.62,1.35,1.37,0.71,3.97,3.09,0.2,1.87,2.24,2.3,1.22,2.3,3.44,0.05,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,1.66,1.45,0.97,0.67,0.65,2.16,2.1,0.03,2.67,0.26,1.24,2.31,2.82,1.26,1.64,2.75,0.17,1.98,1.47,4.48,1.45,0.6,0.36,0.48,0.9,3.32,0.6,0.93,1.03,2.79,1.71,0.89,1.62,2.65,0.75,1.3,1.56,1.14,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,3.36,1.94,1.37,2.08,1.13,1.67,0.68,0.87,3.18,3.1,2.08,1.47,2.52,2.5,1.31,2.25,0.04,1.54,2.26,1.28,0.99,1.23,2.94,1.26,0.96,2.32,0.89,1.84,2.02,0.87,1.28,2.1,0.14,0.53,2.42,0.03,0.53,2.42,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,0.65,2.42,3.26,3.09,1.85,0.91,1.53,1.24,1.22,2.59,6.85,2.47,0.83,0.26,1.18,2.91,1.89,1.56,0.92,2.17,2.79,2.08,1.6,2.17,2.73,1.99,1.31,1.25,1.42,3.2,1.78,1.8,4.18,2.7,0.18,1.07,2.29,0.78,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,0.97,0.43,1.75,0.07,2.71,2.32,2.45,0.99,0.38,4.65,0.75,1.74,0.89,3.1,2.98,1.44,1.45,1.93,0.75,0.1,1.2,1.27,2.09,2.21,2.5,2.27,2.02,0.62,1.57,0.42,1.44,0.87,1.49,2.69,2.93,1.22,4.81,0.88,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,0.4,2.73,5.54,2.15,0.8,1.89,2.58,0.37,0.72,4.36,3.35,3.68,1.63,1.86,0.58,4.16,2.63,3.03,3.97,4.2,3.92,1.57,0.93,2.18,2.01,3.18,1.96,0.97,3.34,1.43,1.74,1.74,2.34,1.5,0.76,3.52,3.16,4.95,0.51,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,4.69,5.57,1.86,1.97,2.14,3,4.37,2.27,1.31,3.29,4.2,1.86,0.26,1.06,2.97,1.35,0.4,2.69,2.96,0.18,2.13,3.4,1.86,2.77,3.41,4.34,0.57,5.04,1.14,3.36,5.14,0.99,1.69,5.56,0.38,5.4,4.45,1.85,0.96,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,0.53,2.03,1.63,2.67,2.17,0.87,3.82,0.18,1.61,3.86,3.04,1.48,1.16,1.65,4.17,2.69,1.39,2.12,1.93,0.99,0.44,1.82,3.17,4.08,0.72,3.29,1.17,1.09,0.89,3.08,1.54,1.98,1.64,1.31,0.49,3.34,3.41,1.93,0,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,2.08,0.97,1.43,3.51,2.45,2.08,1.84,4.01,2.53,1.96,0.55,3.41,5.51,1.63,3.38,1.92,3.11,3.37,2.51,4.24,3.35,1.92,1.21,2.78,3.6,0.89,0.59,1.53,2.63,0.83,0.95,4.03,1.87,3.46,1.6,0.89,1.08,1.67,1.95,5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
