ROTHERHAM ULLEY RES (No 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK455874,Long,-1.317448,Lat,53.381497,Elevation,184,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,3.08,0.67,1.53,2.04,2.25,1.26,4.09,1.26,3.51,1.48,1.29,1.98,1.68,1.13,2.43,3.85,2.11,4.5,2.61,4.01,1.18,3.88,2.61,1.68,2.5,2.14,4.57,0.56,1.01,1.86,1.88,0.31,1.1,2.01,4.01,1.18,2.37,2.03,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,2.35,3.77,1,3.09,1.19,1.43,2.48,0.84,0.68,2.08,0.28,2.97,0.77,2.81,2.6,3.36,0.72,0.85,2.1,2.22,0.41,0.89,1.55,1.59,2.54,1.35,1.35,0.69,3.89,2.85,0.2,1.85,2.27,2.86,1.4,2.41,3.52,0.07,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,1.59,1.43,0.95,0.66,0.77,2.27,2.04,0.03,2.54,0.22,1.23,2.28,2.67,1.24,1.56,2.62,0.17,1.81,1.54,4.31,1.35,0.52,0.35,0.47,0.88,3.43,0.61,0.9,0.99,2.73,1.64,0.88,1.48,2.76,0.78,1.41,1.58,1.26,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,3.27,1.98,1.45,2.11,1.25,1.7,0.66,0.79,2.94,2.88,2.05,1.48,2.48,2.46,1.25,2.2,0.04,1.46,2.12,1.32,0.95,1.15,2.87,1.26,0.96,2.31,0.88,1.9,1.91,0.84,1.22,1.97,0.12,0.6,2.38,0.05,0.56,2.51,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,0.66,2.45,3.43,3.29,1.93,0.94,1.45,1.23,1.12,2.65,6.79,2.47,0.78,0.26,1.12,2.84,1.77,1.5,1.02,2.34,2.71,2.05,1.5,2.09,2.69,1.88,1.32,1.25,1.4,2.95,1.75,1.72,4.06,2.73,0.22,1.16,2.43,0.84,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,0.97,0.44,1.64,0.07,2.8,2.33,2.31,0.99,0.35,4.6,0.76,1.72,0.89,3.06,2.88,1.41,1.37,1.86,0.76,0.1,1.13,1.19,2,2.17,2.44,2.26,2,0.63,1.56,0.4,1.41,0.83,1.43,2.63,3.06,1.3,5.01,0.93,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,0.43,2.79,5.23,2.11,0.8,1.99,2.68,0.38,0.74,5.86,3.23,3.77,1.59,1.82,0.58,4.08,2.54,2.91,3.93,4.17,3.92,1.51,0.88,2.1,1.95,3.09,1.95,0.95,3.41,1.39,1.76,1.67,2.32,1.51,0.76,3.59,3.24,4.91,0.53,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,4.62,5.63,2.17,1.97,2.2,3.1,4.27,2.32,1.36,3.23,4.13,1.8,0.26,1.04,2.96,1.33,0.39,2.66,2.88,0.18,2.07,3.36,1.9,2.76,3.42,4.23,0.57,4.85,1.08,3.34,5.05,0.95,1.62,5.27,0.38,5.56,4.55,2.03,0.97,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,0.53,2.12,1.72,2.62,2.19,0.87,3.68,0.2,1.63,3.81,2.98,1.49,1.1,1.61,4.09,2.59,1.35,2.04,1.88,0.94,0.44,1.8,3.04,3.99,0.71,3.21,1.16,1.07,0.89,2.97,1.48,1.93,1.56,1.23,0.56,3.49,3.43,2.01,0,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,2.1,0.98,1.49,3.46,2.45,2.07,1.96,3.69,2.51,1.96,0.55,3.44,5.47,1.59,3.19,1.81,3,3.14,2.38,4.23,3.26,1.86,1.18,2.62,3.47,0.86,0.57,1.56,2.59,0.8,0.89,3.68,1.79,3.28,1.67,0.89,1.17,1.81,2.05,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
