HAMILTON ARDENCLUTHA LAIGHSTONE HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 708 545,Long,-4.060745,Lat,55.766553,Elevation,260,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,6.62,4.27,1.77,4.54,2.85,4.88,6.17,4.98,2.84,1.93,2.82,3.17,2.49,6.49,1.78,4.21,3.54,5.71,,,,,,,,,,
February,,,,6.61,2.51,2.47,2.45,3.12,2.69,2.42,4.85,6.13,2.58,2.81,3.96,4.8,5.66,1,4.51,0.87,5.19,,,,,,,,,,
March,,,,8.99,1.39,3.98,3.52,4.1,4.39,2.41,2.09,1.76,3.73,4.81,4.7,1.07,2,2.58,1.52,2.45,3.44,,,,,,,,,,
April,,,,1.03,5.18,2.17,1.14,1.57,1.65,2.48,4.43,2.67,1.51,3.07,1.96,2.42,2.76,2.11,0.45,1.64,1.95,,,,,,,,,,
May,,,1.93,2.37,2.53,1.11,3.89,4.01,2.52,2.15,1.86,1.97,0.38,2.99,1.8,1.31,4.78,2.58,2.03,0.4,4.13,,,,,,,,,,
June,,,1.87,1.87,1.7,0.81,0.9,3.75,2.22,2.29,2.37,2,4.85,3.06,0.69,1.79,2.42,2.11,1.24,3.15,1.45,,,,,,,,,,
July,,,2.53,3.36,2.37,3.62,1.53,2.75,2.38,3.29,3.84,1.9,2.49,0.9,2.88,3.61,2.74,1.59,2.41,0.64,3.71,,,,,,,,,,
August,,,1.87,5.02,3.4,2.97,5.5,3.95,2.85,2.18,5.64,2.04,4.6,1.11,2.56,2.88,5.32,4.48,2.2,2.33,5.34,,,,,,,,,,
September,,,3.12,3.53,2.16,2.26,1.46,0.66,4.11,1.82,0.95,1.8,2.08,1.95,0.91,1.24,0.97,1.94,5.4,2.84,2.17,,,,,,,,,,
October,,,1.89,5.89,1.81,2.21,5.85,6.76,1.14,6.35,1.88,3.51,3.11,2.15,1.31,2.22,5.37,6.4,4.79,1.06,1.61,,,,,,,,,,
November,,,1.54,3.03,2.19,2.87,3.68,2.08,3.36,2.36,2.75,6.39,3.38,4.99,4.96,2.22,4.31,6.5,3.4,3.41,3.73,,,,,,,,,,
December,,,4.35,2.8,3.69,3.46,3.34,4.92,2.92,4.86,3.31,4.86,8.18,3.16,5.5,4.82,4.89,2.49,3.85,7.13,3.43,,,,,,,,,,
Total,,,,51.12,33.2,29.7,37.8,40.52,35.11,38.78,38.95,37.87,38.82,33.82,34.4,30.87,47.71,35.56,36.01,29.46,41.86,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902 May Gauge moved ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
