HAMILTON ARDENCLUTHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS709555,Long,-4.059736,Lat,55.775541,Elevation,260,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,1.92,6.25,2.47,2.98,1.13,4.32,1.21,1.73,1.24,2,5.7,5.33,2.39,3.09,,,,,,,
February,,,,,,,,,,2.49,0.69,0.31,1.96,3.21,8.12,0.22,1.32,2.74,3.59,1.91,2.67,1.44,0.98,,,,,,,
March,,,,,,,,,,1.44,2.28,3.26,0.3,1.89,4.24,2.65,4.71,4.13,1.53,3.5,0.32,2.7,2.81,,,,,,,
April,,,,,,,,,,1.84,1.17,0.45,0,1.57,1.77,1.49,1.77,2.15,1.82,3.15,1.91,3.12,0.62,,,,,,,
May,,,,,,,,,,2.98,2.71,1.51,0.64,2.37,2.67,0.46,0.69,2.09,2.15,3.93,2.05,1.67,,,,,,,,
June,,,,,,,,,,0.78,2.93,2.2,3.63,2.04,2.6,1.4,3.74,5.41,1.52,1.96,3.98,2.5,,,,,,,,
July,,,,,,,,,,3.54,3.72,1.3,1.94,3.25,3.54,3.93,4.23,1.53,1.28,3.2,3.38,1.65,,,,,,,,
August,,,,,,,,,,4.68,3.21,4.96,7.27,3.7,4.64,5.62,2.01,3.27,4.68,1.08,4.2,3.7,,,,,,,,
September,,,,,,,,,,1.75,3.27,4.82,3.8,2.08,0.25,1.2,4.39,3.03,4.18,3.43,3.51,2.31,,,,,,,,
October,,,,,,,,,,3.14,2.14,2.86,4.18,3.59,2.16,3.54,4.26,1.57,3.56,3.52,5.15,4.34,,,,,,,,
November,,,,,,,,,,1.9,5.75,3.48,2.95,2.21,3.9,3.3,0.94,2.89,4.74,5.17,6.05,3.37,,,,,,,,
December,,,,,,,,,,2.42,1.36,7.27,1.88,4.88,3.39,4.04,4.3,6.07,5.78,3,7.4,4.28,,,,,,,,
Total,,,,,,,,,,28.88,35.48,34.89,31.53,31.92,41.6,29.06,34.09,36.12,36.83,39.55,45.95,33.47,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902 May Gauge moved ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
