LONGFORD-PERRY-OAKS-DISPOSAL-WKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ060759,Long,-0.4752287,Lat,51.472145,Elevation,77,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,838/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.45,4.38,2.25,2.36,2.68,4.38,1.65,1.72,1.73,1.57,3.84,0.96,0.64,2.55,1.98,0.88,0.85,2.39,3.37,1.47,2.27,2.16,1.75
February,,,,,,,,0.26,0.97,1.74,2.15,0.69,1.14,0.77,1.64,3,1.26,1.19,1.14,3.47,4.67,0.67,1.13,2.05,1.26,0.06,2.83,2.07,0.09,1.98
March,,,,,,,,0.23,0.86,3.17,3.39,1.63,0.4,0.16,0.59,1.19,4.79,0.65,1.12,0.84,3.26,2.38,0.32,2.1,0.83,0.46,0.99,0.91,1.69,1.37
April,,,,,,,,0.08,2.23,1.85,1.61,1.17,0.79,1.3,1.09,2.1,1.59,1.38,1.46,2.32,2.27,1.58,1.96,0.39,0.25,1.07,0.2,1.11,2.15,0.45
May,,,,,,,,1.57,1.31,1.68,1.79,2.72,2.61,0.55,2.06,4.41,1.45,2.47,2.36,1.81,3,2.01,1.25,2.52,3.61,0.14,0.85,2.17,1.01,1.82
June,,,,,,,,0.52,1.1,0.81,1.76,0.29,1.13,1.3,1.81,3.15,2.92,3.59,0.34,1.82,1.21,1.37,1.13,3.6,2,1.65,0.87,4.18,0.51,1.78
July,,,,,,,,0.93,2.13,2.15,2.45,1.23,2.86,1.68,3.48,2.35,1.32,0.82,1.89,3.94,0.95,0.49,2.36,1.84,0.28,6.43,3.58,2.13,3.57,3.01
August,,,,,,,,2.47,2.49,0.1,5.11,2.47,1.21,2.6,1,3.97,0.32,2.86,1.08,2.54,3.56,2.51,1.8,3.48,0.69,3.33,3.62,3.06,1.29,2.66
September,,,,,,,,1.42,0.87,1.44,0.39,0.7,1.81,2.11,1.82,2.83,1.08,1.46,0.98,2.31,2.66,2.83,1.92,1.98,1.86,1.54,1.99,3.36,0.45,3.24
October,,,,,,,,2.27,4.34,2.64,0.92,3.1,2.81,3.08,2.92,1.41,0.13,2.06,5.93,0.62,0.97,2.36,2.67,2.27,3.45,3.34,1.83,2.15,2.11,6.27
November,,,,,,,,3.2,4.36,6.67,2.76,1.87,1.29,3.73,0.25,4.86,1.18,1.82,2.21,4.13,5.18,2.64,1.26,3.98,1.27,0.27,2.16,2.04,2.06,3.63
December,,,,,,,,2.88,1.1,1.01,1.56,2.71,1.33,1.75,2.85,2.61,2.53,2.94,1.54,1.72,1.43,2.35,0.59,1.99,1.8,2.55,1.36,3.3,2.84,2.47
Total,,,,,,,,18.28,26.14,25.51,26.25,21.26,21.76,20.68,21.23,33.61,20.14,25.08,21.01,26.16,31.71,23.17,17.27,27.05,19.69,24.21,21.75,28.75,19.93,30.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 5652 LONGFORD: PERRY OAKS Start 1938 end 2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1960s record and is Perry Oaks Sludge Disposal Works. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
