KILKEEL,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ3049314573,Long,-6.00741,Lat,54.06392,Elevation,40,ft,,,,,,,,,,,,
Station no,RR2951,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,1.21,7.24,3.85,2.63,1.06,0.39,1.7,3.8,4.03,1.67,3.03,2.09,,
February,,,,,,,3.44,2.34,2.29,3.95,2.1,4.35,1.98,2.66,2.74,2.69,2.28,0.73,,
March,,,,,,,2.28,3.05,1.16,1.75,2.62,2.47,2.98,0.88,2.15,1.89,3.35,1.23,,
April,,,,,,,2.42,3.84,2,2.29,2.64,1.26,3.76,1.04,1.57,2.33,1.52,,,
May,,,,,,,0.4,3.37,4.37,3.02,0.75,2.38,2.28,2.66,1.32,1.61,5.81,,,
June,,,,,,3.58,1.75,2.47,3.33,4.53,3.13,3.56,2.96,1.71,0.85,1.04,1.43,,,
July,,,,,,3.32,1.76,2.78,0.35,5.61,4.58,1.47,3.64,2.31,3.89,1.68,3.46,,,
August,,,,,,4.02,3.31,3.09,2.7,3.4,0.93,4.13,4.47,3.81,1.44,1.4,2.34,,,
September,,,,,,5.29,4.11,1.85,3.33,5.12,3.32,1.97,3.11,3.87,1.97,5.66,3.09,,,
October,,,,,,5.74,5.01,3.17,2.09,1.23,2.79,2.64,2.41,1.97,1.18,3.05,4.35,,,
November,,,,,,4.59,5.11,3.86,1,0.83,3.26,3.5,5.43,3.31,2.03,2.36,2.4,,,
December,,,,,,1.63,7.81,3.72,1.14,1.4,2.56,3.15,3.96,1.15,2.97,0.82,3.86,,,
Total,,,,,,,38.61,40.78,27.61,35.76,29.74,31.27,38.68,29.17,26.14,26.2,36.92,,,
