GADGIRTH AYRSHIRE,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 409 223,Long,-4.518097,Lat,55.468689,Elevation,165,ft,,,,,,,,,,,,
Station no,RR1767,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,3.1,2.85,2.55,,,,,,,,,
February,,,,,,,,,0.9,2.45,0.9,,,,,,,,,
March,,,,,,,,,2.98,8.6,3.96,,,,,,,,,
April,,,,,,,,0.8,3.45,,0.3,,,,,,,,,
May,,,,,,,,,3.8,,,,,,,,,,,
June,,,,,,,,,3.8,0.4,,,,,,,,,,
July,,,,,,,,,4.3,1.3,,,,,,,,,,
August,,,,,,,,1,1.8,1.3,,,,,,,,,,
September,,,,,,,,1.8,4,5.6,,,,,,,,,,
October,,,,,,,,2,5.45,1.6,,,,,,,,,,
November,,,,,,,,1.9,1.9,0.9,,,,,,,,,,
December,,,,,,,,2.9,2.8,1.6,,,,,,,,,,
Total,,,,,,,,,38.28,,,,,,,,,,,
