THELWALL-MILLINGTON-HOUSE-NEW-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ648865,Long,-2.530545,Lat,53.374177,Elevation,85,ft.,,,,,,,,,,,,
Station no,RR2852,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,2.88,1.77,3.48,1.17,1.82,2.87,1.2,1.43,1.74,3.1,4.07,2.34,2.29,2.46,2.23,1.45,4.49,,,
February,0.6,0.15,2.21,2.93,3.97,0.27,1.55,2.84,1.67,1.07,3.48,1.55,1.5,1.89,3.7,1.63,2.91,,,
March,2.24,1.42,1.07,0.45,2.2,3.05,3.67,2.6,0.72,1.8,0.91,2.07,1.42,3.81,1.66,3.03,2.58,,,
April,1.33,2.09,1.3,0.48,1.63,1.92,1.47,2.18,1.59,2.62,1.46,2.29,2.21,1.58,1.55,2.47,1.66,,,
May,2.08,2.48,3.05,2.03,2.03,0.42,0.35,1.9,4.01,2.23,1.79,0.96,4.14,3.4,2.23,0.72,2.62,,,
June,3.33,2.39,3.61,1.63,2.25,2.78,2.33,2.94,2.67,2.08,2.88,2.05,1.41,1.86,1.27,2.27,1.87,,,
July,2,2.95,2.81,3.92,2.81,5.21,2.08,1.37,0.45,1.7,2.27,3.22,1.95,3.57,1.51,1.67,1.37,,,
August,3.77,5.36,3.93,2.5,3.82,3.52,2.52,3.2,4.81,1.24,5.26,2.48,3.1,3.43,4.2,4.25,2.6,,,
September,1.13,3.34,3.71,3.66,1.16,1.73,5.27,4.21,0.7,3.99,0.93,0.96,1.13,4.34,2.17,2.09,2.33,,,
October,1.81,4.07,5.04,3.12,3.06,3.84,4.57,1.87,3.76,3.57,3.69,3.12,3.37,5.95,1.5,3.13,4.68,,,
November,5.56,2.98,2.23,1.56,1.93,3.14,1.26,4.19,1.97,1.12,2.32,3.22,1.6,3.52,2.2,3.55,2.2,,,
December,0.57,5.18,2.13,3.42,2.57,2.55,4.18,3.42,2.6,2.86,3.94,3.54,2.5,1.44,2.85,0.63,3.89,,,
Total,27.3,34.18,34.57,26.87,29.25,31.3,30.45,32.15,26.69,27.38,33,27.8,26.62,37.25,27.07,26.89,33.2,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Millington House. Altitudes match.,,,,,,,,,,,,,,,,,,,,
There are duplicated readings between the gauges that are fairly random and considered to be coincidental,,,,,,,,,,,,,,,,,,,,
