RUGBY BILTON GRANGE OLD GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP492717,Long,-1.279264,Lat,52.34118,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,3.12,0.56,0.79,1.67,2.13,0.83,3.81,0.87,0.74,1.1,2,0.85,3.11,3.67,1.1,2.35,1.15,1.73,,2.79,1.87,1.87,2.54,1.39,2.15,1.36,2.73,2.01,3.27,1.1,
February,3.88,0.98,1.06,1,2.94,0.51,2.19,1.1,0.82,0.51,2.04,1.37,1.46,0.8,1.37,2.55,3.19,1.19,,2.31,0.76,0.19,2.19,3.04,0.42,2.06,2.49,2.63,1.61,0.34,
March,0.4,1.58,1.2,3.02,1.5,2.31,1.25,1,2.58,2.39,0.63,1.84,2.89,3.31,2.59,0.88,3.6,1.05,,3.34,1.93,0.97,1.27,1.31,0.54,0.52,0.44,1.45,1.76,0.11,
April,0.61,2.18,1.09,1.56,0.74,1.22,0.33,2.06,4.03,1.21,1.41,0.83,0.15,2.56,0.9,0.81,0.79,1.42,,1.43,4.02,1.12,1.83,1.69,3.07,1.6,2.18,1.44,1.18,1.17,
May,1.56,1.03,1.91,2.7,1.63,0.23,1.94,4.23,1.84,1.49,1.86,1.16,2.34,1,1.22,1.65,1.39,1.9,,0.96,1.74,1.74,0.76,1.06,3.91,2.25,2.68,0.7,0.86,1.49,
June,3.79,2.97,2.6,2.21,0.59,2.87,3.51,1.83,1.05,3.15,1.88,1.44,3.75,0.72,2.35,2.16,1.61,2.7,,0.63,3.31,0.29,0.69,0.32,1.46,0.02,1.36,3.08,2.47,1.09,
July,0.72,4.14,1.4,3.57,2.95,0.5,0.66,2.35,1.95,2.54,2.21,0.41,3.4,0.72,2.05,3.67,1.21,1.37,,2.96,3,0.34,4.29,2.64,2.47,3.01,1.78,2.43,1.43,2.06,
August,2.87,1.51,3.21,3.34,2.33,3.3,0.93,3.23,3.42,1.69,2.96,1.78,5.87,0.45,1.37,2.29,2.99,3.1,,1.92,1.31,2.75,4.05,1.83,2.02,2.1,1.73,3.07,2.09,1.45,
September,0.56,1.2,0.93,1.79,1.79,1.59,1.34,0.75,1.98,2.5,0.44,1.2,0.93,1.46,0.64,1.5,0.75,1.41,,2.03,2.54,0.87,1.89,2.61,2.83,3,1.54,4.11,0.6,1.17,
October,1.99,0.85,1.58,5.15,0.64,0.98,4.49,4.63,1.18,2.4,2.8,1.73,2.15,3.17,2.1,1.6,2.2,2.8,,2.02,1.56,1.2,0.49,3.25,3.15,2.95,1.89,1.45,3.43,2.5,
November,2.12,0.59,1.25,1.48,1.11,1.96,2.75,1.66,0.87,0.51,3.63,2.23,1.57,2.45,2.25,2.07,2.87,0.89,,1.37,0.85,1.77,1.22,1.88,2.18,1.2,3.83,2.34,2.59,5.64,
December,4.1,3.75,1.11,0.85,1.34,0.96,1.94,2.95,1.45,3.13,4.19,3.33,2.82,0.9,5.14,3.78,2.18,0.86,,3.2,1.83,1.6,3.07,2.3,1.95,2.01,0.49,2.15,2.02,4.17,
Total,25.72,21.34,18.13,28.34,19.69,17.26,25.14,26.66,21.91,22.62,26.05,18.17,30.44,21.21,23.08,25.31,23.93,20.42,20.46,24.96,24.72,14.71,24.29,23.32,26.15,22.08,23.14,26.86,23.31,22.29,26.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_16_pt1-page-183.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_15_pt1-page-201.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_16_pt1-page-078.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
