DARTMOOR-BLACK-DUNGHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX579774,Long,-4.0073,Lat,50.5794,Elevation,1590,ft,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,2.5,5.25,,6.3,2.2,4.75,8.4,3.3,5.2,3.4,1.9,5.8,7.2,8.2,6.3,5.8,4.3,6.5,6.35,6.6,7,8,3.1,7.7,6,,,,,,,,,
February,4.35,3.15,0.7,6.7,3.8,5.5,2.5,6.95,8.8,-999,1.55,4.1,4.9,1.7,0.9,5.5,10,2.6,5.9,4.3,4.5,4.55,1.2,2,4,,,,,,,,,
March,1.9,4.4,6.2,1.2,3.55,8,6.3,8.9,1.7,-999,2.65,2.3,7.4,5.15,4.2,4.4,2.5,2.7,1.65,1.22,6.1,7.5,0.9,2.9,2,,,,,,,,,
April,6.5,3,3.7,3.8,2.9,0.4,7,2.55,2,2.1,1.7,2.4,3.5,5.9,1.35,4.4,5.25,4.4,3.5,3,2.75,2.5,1,3.7,4.15,,,,,,,,,
May,4.8,2.9,2.3,3.55,1.2,2.7,4,2.85,3.2,2,3.3,1.7,1.6,2.95,3,1.7,3.6,5.1,5.15,2.8,1.5,1.7,4.25,2.8,3.75,,,,,,,,,
June,4,1.25,2.65,1.7,3.8,8.1,1.45,2.3,2.85,3,3.8,2.2,1.5,2.35,0.25,1.85,0.9,4.2,0,3.7,4.1,3.8,3,2,5,,,,,,,,,
July,2.4,4.9,3.5,5.1,1.2,3.6,0.6,7.1,6.8,1.7,4.1,4.7,1.85,7.2,2.4,5.9,2.6,5.2,6.7,2.9,6.95,3.6,3.2,3.7,6.5,,,,,,,,,
August,3.1,4.6,2.8,6.3,1.6,14.1,3.1,4.8,2.7,7.1,11.1,3.1,4.6,2.4,3.4,5.3,4.75,7,5.2,3,5.9,2.6,5.6,6.1,5.8,,,,,,,,,
September,1.4,2.75,2.7,0.95,3.1,1.65,4.95,3.5,1.75,3.9,3.65,9.6,3.4,3.5,1.65,3.75,4.7,6.3,5,2.5,8,1.95,0.8,6.6,2.6,,,,,,,,,
October,8.9,2.2,10.2,8.9,5.2,6.25,5.2,4.2,4.65,8.8,8.5,4,2.55,5.55,1.6,2,9,9,7.5,3.7,4.65,8,7.9,6.9,1.12,,,,,,,,,
November,5.3,3.5,2.3,6.3,6.8,4.5,7.5,6.25,3.25,7.35,3.45,4.5,4.55,3.9,4.1,3.75,4.1,4.6,3.8,9.4,5.5,7.2,14.5,8.3,9.15,,,,,,,,,
December,5.25,5.85,7,10,11.8,8.2,4.5,10.9,12.55,3.7,1.1,9.1,9.1,5.7,3.6,7.65,6.2,6.4,5.9,1.6,8.9,5.6,9,4.7,2.8,,,,,,,,,
Total,50.4,43.75,,60.8,47.15,67.75,55.5,63.6,55.45,52.8,46.8,53.5,52.15,54.5,32.75,52,57.9,64,56.65,44.72,65.85,57,54.45,57.4,52.87,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Exact location unknown, but the end of this track matches the given elevation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge read monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1907Jan gauge frozen, amount estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916 Feb Mar bracketed Value 9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 Including Dec 31st 1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 Gauge over exposed on moor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Year low 10ins ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual values rejected from survey map 1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
