"DARTMOOR BLACK DUNGHILL PRINCETOWN NO5",,,,,,,,,,,,
Grid ref,SX581774,Long,-4.005543,Lat,50.579053,,,,,,,
Station no,1709,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,2.50,5.25,3.15,,
February,,,,,,,,4.35,3.15,0.70,,
March,,,,17.50,,,,1.90,4.40,6.20,,
April,,,,,,,,6.50,3.00,3.70,,
May,,,,-999.00,,,,4.80,2.90,2.30,,
June,,,,,,,,4.00,1.25,2.65,,
July,,,,,,,,2.40,4.90,3.50,,
August,,,,-999.00,,,,3.10,4.60,2.80,,
September,,,,,,,1.30,1.40,2.75,2.70,,
October,,,,18.10,,,7.95,8.90,2.20,10.20,,
November,,,,0.10,,,4.90,5.30,3.50,2.30,,
December,,,,10.70,-999.00,,5.10,5.25,5.85,7.00,,
Total,,,,64.30,47.25,41.00,50.85,50.40,43.75,47.20,,
Calc annual,0.00,0.00,0.00,46.40,0.00,0.00,19.25,50.40,43.75,47.20,,
Difference,NaN,NaN,NaN,17.90,47.25,41.00,31.60,0.00,-0.00,0.00,,
