DARTMOOR-BLACK-DUNGHILL-(EARLY-YEARS),,,,,,,,
Grid ref,SX579774,Long,-4.0073,Lat,50.5794,Elevation,1590,ft
Station no,1709,,,,,,,
,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,
January,,,,-999,-999,-999,-999,
February,,,,-999,-999,-999,-999,
March,,,,-999,-999,-999,-999,
April,,,,-999,-999,-999,-999,
May,,,,-999,-999,-999,-999,
June,,,,-999,-999,-999,-999,
July,,,,-999,-999,-999,-999,
August,,,,-999,-999,-999,-999,
September,,,,-999,-999,-999,1.3,
October,,,,-999,-999,-999,7.95,
November,,,,0.1,-999,-999,4.9,
December,,,,10.7,-999,-999,5.1,
Total,,,,64.3,47.25,41,50.85,
,,,,,,,,
,,,,,,,,
In the early years the gauge was rarely read. ,,,,,,,,
,,,,,,,,
1903 Jan-Mar value 17.5,,,,,,,,
          Apr-May value 5.1,,,,,,,,
         June-Aug value 12.8,,,,,,,,
         Sept-Oct value 18.1,,,,,,,,
1904 Jan-Mar value 16.3,,,,,,,,
          Apr-July value 15.1,,,,,,,,
          Aug-Oct value 6.25,,,,,,,,
          Nov-Dec value 9.6,,,,,,,,
1905 Jan-Apr value 16.0,,,,,,,,
          May-Aug value 10.1,,,,,,,,
          Sept-Dec value 14.9,,,,,,,,
1906 Jan-Mar 16.6,,,,,,,,
         Apr_Aug 15.0,,,,,,,,
