LONGRIDDRY (EVENTYR),,,,,,,,,,
Grid ref,NT442771,Long,-2.894567,Lat,55.984399,Elevation,20,ft,,
Station no,5104/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,2.46,2.56,4.4,1.42
February,,,,,,,2.88,0.51,1,0.93
March,,,,,,,2.75,0.33,2.32,2.56
April,,,,,,,1.03,0.13,1.03,1.82
May,,,,,,,2.49,3.11,0.7,1.41
June,,,,,,,1.5,3.49,1.76,0.41
July,,,,,,,3.82,2.61,2.9,
August,,,,,,,3.3,1.82,1.52,
September,,,,,,,1,2.85,0.98,
October,,,,,,,2.62,4.36,2.46,
November,,,,,,,0.37,2.97,2.68,
December,,,,,,,4.21,2.42,0.56,
Total,,,,,,,28.43,27.16,22.31,
,,,,,,,,,,
1940 July estimated therefore removed,,,,,,,,,,
