NORWICH (CRINGLEFORD),,,,,,,,,,,,
Grid ref,TG192066,Long,1.236304,Lat,52.612913,,,,,,,
Station no,1412/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.16,2.77,1.22,1.72,1.88,3.07,1.98,2.45,3.43,,,
February,3.06,1.11,1.62,2.10,2.19,1.18,3.07,3.25,0.24,,,
March,3.66,2.23,0.60,2.38,1.88,0.82,2.17,1.24,1.42,,,
April,3.33,1.44,2.18,0.51,0.43,0.98,0.26,1.04,2.10,,,
May,1.76,1.31,1.43,1.88,2.06,0.86,1.29,3.20,0.37,,,
June,0.96,1.50,2.06,2.47,2.52,2.36,2.11,2.51,1.12,,,
July,2.23,1.91,2.62,2.69,0.25,2.83,2.36,2.74,1.58,,,
August,3.35,1.96,2.75,5.17,1.02,4.97,2.27,2.53,1.67,,,
September,2.35,2.45,1.68,1.77,2.27,1.47,3.53,2.21,0.08,,,
October,0.64,2.43,2.20,2.20,4.50,2.63,1.50,1.94,2.37,,,
November,3.29,4.27,1.36,4.54,0.77,1.76,1.93,1.25,2.56,,,
December,1.39,2.58,1.05,2.04,1.70,1.89,2.22,2.77,3.16,,,
Total,29.18,25.96,20.77,29.47,21.47,24.82,24.69,27.13,20.10,,,
Calc annual,29.18,25.96,20.77,29.47,21.47,24.82,24.69,27.13,20.10,0.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,,
