"PARKHAM (MELBURY RESERVOIR)",,,,,,,,,,,,
Grid ref,SS386201,Long,-4.299483,Lat,50.957664,,,,,,,
Station no,1857,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.29,5.69,1.59,3.40,4.96,5.43,5.05,,7.27,5.27,,
February,6.18,1.51,2.46,5.57,4.16,0.33,6.94,,0.46,4.33,,
March,6.10,4.61,1.84,4.02,1.32,1.56,5.49,,5.10,2.31,,
April,4.42,4.45,3.44,1.24,2.40,1.34,0.45,,3.40,3.60,,
May,3.31,2.52,4.78,3.38,4.18,1.14,3.04,,1.68,2.07,,
June,1.36,2.39,1.91,4.57,4.44,2.52,3.72,,1.94,2.15,,
July,2.21,1.41,6.55,6.38,1.43,5.00,4.23,,2.97,7.33,,
August,7.11,8.68,4.37,4.00,0.26,5.07,3.87,,2.95,6.16,,
September,3.66,5.69,5.61,5.98,2.33,6.48,5.84,,0.65,7.04,,
October,1.88,6.82,3.19,7.16,3.59,2.79,6.36,,7.22,8.11,,
November,6.71,5.62,4.45,10.19,3.61,1.66,2.78,,10.20,7.83,,
December,6.09,5.69,1.74,4.69,8.63,6.00,3.01,,11.15,8.41,,
Total,56.32,55.08,41.93,60.58,41.21,39.32,50.78,,54.99,64.61,,
Calc annual,56.32,55.08,41.93,60.58,41.31,39.32,50.78,0.00,54.99,64.61,,
Difference,-0.00,0.00,-0.00,0.00,-0.10,0.00,0.00,NaN,0.00,0.00,,
