PARKHAM MELBURY RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS387201,Long,-4.298061,Lat,50.957692,Elevation,516,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,9.45,7.57,3.63,3.58,7.74,7.35,2.55,9.35,3.22,3.8,3.55,7.06,2.94,5.62,8.27,3.18,5.22,4.78,2.61,6.84,7.35,10.6,7.44,5.15,4.59,5.26,4.6,9.4,8.81,12.6,1.88,8.92,6.8,7.8,4.87,6.97,2.03,6.58,8.73,9.86,8.54,3.98,3.91,6.44,8.6,5.28,4.58,6.68,4.41,11.36,2.66,2.51,7.29,5.69,1.59,3.4,4.96,5.43,5.05,,7.27,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,4.14,7.21,1.91,2,3.45,6.94,2.68,6.04,2.86,3.87,1.06,8.38,4.69,3.72,2.16,5.91,8.51,8.81,1.49,3.86,4.83,3.06,0.34,6.82,9.16,1.39,7.57,3.47,3,6.87,2.19,2.14,4.91,0.02,4.25,0.42,6.55,3.53,10.53,2.53,3.86,5.03,6.4,0.44,3.36,1.42,6.79,5.3,0.44,2.93,2.52,8.72,6.18,1.51,2.46,5.57,4.16,0.33,6.94,,0.46,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,1.91,1.91,2.82,4.04,8.29,2.23,6.38,3.45,2.38,4.79,5.74,1.3,2.42,9.17,7.94,9.58,1.31,2.84,3.45,2.13,6.05,5.13,4.88,5.49,2.15,2.94,1.01,0.77,4.83,5.25,1.05,3.12,2.37,2.78,4.59,3.74,1.72,3,4.89,1.11,2.06,3.74,4.53,3.32,1.99,0.21,2.67,1.69,8.73,2.65,2.81,2.74,6.1,4.61,1.84,4.02,1.32,1.56,5.49,,5.1,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,4.08,2.28,5.07,2.34,2.28,2.57,3.27,2.04,5.21,2.81,3.61,3.18,3.58,0.35,7.27,2.41,2.39,2.03,3.44,2.5,3.43,6.15,1.06,5.32,3.65,4.24,3.61,2.37,1.8,1.61,1.15,2.89,3.52,3.39,2.49,3.31,6.49,3.44,4.67,0.46,3,3.78,1.36,2.85,1.45,3.34,1.97,2.71,4.13,3.17,3.38,3.35,4.42,4.45,3.44,1.24,2.4,1.34,0.45,,3.4,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,3.49,2.45,1.02,2.67,3.93,4.07,0.36,4.62,3.56,2.2,2.35,3.25,1.48,1.81,3.08,2.14,3.73,2.66,1.82,1.27,1.94,3.02,2.13,2.02,2.87,3.65,6.19,2.8,1.52,1.5,5,2.89,3.6,4.3,2.25,2.41,2.12,1.11,2.61,3.35,1.09,1.37,2.7,6.9,5.84,1.47,5.04,4.75,2.94,3.11,3.51,2.15,3.31,2.52,4.78,3.38,4.18,1.14,3.04,,1.68,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.94,4.2,3.82,4.42,1.54,2.02,4.07,1.78,5.19,1.43,2.12,3.91,4.43,9.1,3.07,2.37,1.66,5.02,5.57,1.64,1.74,4.36,0.29,2.56,0.7,2.03,0,2.26,4.48,3.81,3.59,1.66,4.85,1.31,2.16,2.17,6.02,2.94,2.13,3.27,2.74,0.73,1.6,0.31,2.76,4.19,4.95,6.6,4.16,3.16,0.66,2.45,1.36,2.39,1.91,4.57,4.44,2.52,3.72,,1.94,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,0.97,1.31,1.91,3.16,4.79,5.25,1.64,1.6,2.17,3.41,3.12,4.33,0.68,4.22,0.91,5.14,4.98,1.13,3.02,6.76,1.66,7.82,2.37,3.91,4.64,5.48,4.39,2.53,6.79,2.64,3.84,4.61,6.61,3.93,3.54,1.3,1.43,10.29,3.1,4.06,8.26,8.1,2.01,3.66,4.44,3.03,6.44,3.88,3.45,2.78,2.57,5.12,2.21,1.41,6.55,6.38,1.43,5,4.23,,2.97,7.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,3.76,4.45,3.77,2.77,5.66,3.99,5.76,3.84,4.64,5.41,2.25,5.57,3.47,11.46,1.49,5.83,2.6,4.07,7,3.43,3.15,2.4,4.84,3.89,4.16,7.47,3.73,4.2,6.07,4.49,4.28,5.5,6.34,1.68,1.98,5.31,3.46,1.37,1.44,7.31,4.86,0.65,7.05,3.81,6.39,4.96,2.78,7.91,0.49,4.56,2.81,9.48,7.11,8.68,4.37,4,0.26,5.07,3.87,,2.95,6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,4.27,2.57,3.79,4.96,5.45,4.13,2.35,1.1,1.34,2.98,2.97,0.33,4.01,1.13,2.35,3.37,2.22,3.7,3.37,12.45,2.4,5.38,2.69,4.06,6.03,7.13,4.56,2.71,9.43,2.6,1.07,7.24,2.92,6.48,2.64,4.97,7.17,3.71,5.63,2.1,1.39,3.26,0.49,6.1,7.51,6.1,3.53,7.61,2.29,4.22,2.92,9.36,3.66,5.69,5.61,5.98,2.33,6.48,5.84,,0.65,7.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,5.82,6.62,4.95,5.05,14.73,3.9,3.87,7.41,7.58,1.82,10.79,8.21,6.2,7.36,5.18,3.75,4.96,8.95,10.22,3.96,3.17,6.32,2.46,2.48,8.89,6.19,7.8,3.64,3.77,10.88,10.96,8.88,1.55,13.37,7.02,5.66,11.21,3.5,3.37,10.5,4.37,5.59,4.26,4.85,5.27,9.71,5.37,2.15,2.59,6.49,11.44,2.14,1.88,6.82,3.19,7.16,3.59,2.79,6.36,,7.22,8.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
