PARKHAM MELBURY MOOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS376196,Long,-4.3125,Lat,50.9537,Elevation,623,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,2.24,9.32,7.63,3.12,3.52,7.34,6.66,2.74,9.02,2.78,3.35,3.24,6.2,2.72,4.98,7.58,2.74,5.13,4.14,2.41,6.8,6.69,8.86,7.08,5.08,4.25,5.06,4.55,9.53,8.63,11.24,1.92,7.68,5.52,6.8,4.98,6.65,1.53,6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,2.78,4.19,7.11,1.83,1.86,2.99,6.64,2.4,5.97,2.62,3.59,0.89,7.1,4.01,3.37,1.81,5.31,7.88,8.51,1.74,3.75,4.41,2.82,0.31,6.56,8.27,1.31,7.13,3.23,2.95,5.7,1.79,2.1,4.21,0.02,3.47,0.32,5.77,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,1.53,1.95,1.82,2.93,4.01,8.08,2.15,5.95,3.1,2.02,4.63,5.23,1.13,2.23,8.24,7.36,9.3,1.18,3.33,3.83,2.19,6.2,5.34,4.46,5.04,1.92,2.59,0.95,0.74,4.54,4.81,0.89,2.91,2.24,2.54,4.09,3.4,1.55,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,2.26,4.12,2.24,5.13,2.25,2.15,2.34,3.22,1.97,5.19,2.87,3.38,3.01,3.16,0.34,6.49,2.3,2.2,1.91,3.62,2.64,3.02,5.91,0.99,5.38,3.65,3.75,3.38,2.32,1.85,1.51,1.01,2.7,3.04,2.91,2.3,3.22,6.17,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,4.74,3.82,2.32,0.95,2.61,4.35,4.04,0.37,4.56,3.42,2.12,2.24,3.14,1.18,1.73,3.01,1.97,3.27,2.59,1.83,1.23,1.92,3.08,2.13,1.89,2.66,3.32,5.98,2.65,1.5,1.31,4.48,2.44,3.99,4.33,2.11,1.83,1.94,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,4.53,1.99,4.25,3.72,4.42,1.67,1.93,3.83,1.94,5.17,1.46,2.05,3.79,4.48,8.93,2.61,2.34,1.65,4.94,5.38,1.58,1.73,3.84,0.25,2.45,0.68,2.08,0,2.14,4.46,3.89,3.42,1.48,4.87,1.27,1.98,2.03,5.75,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,0.98,0.98,1.42,1.92,3.08,4.36,5.6,1.63,1.67,2.28,3.17,3.03,3.78,0.62,4.06,0.92,5.02,4.76,1.13,2.92,6.21,1.51,7.32,2.2,3.74,3.94,5.83,4.61,2.39,5.76,2.49,3.42,4.09,6.82,3.91,3.09,1.41,1.39,9.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,4.76,3.62,4.33,3.6,2.57,5.52,4.23,6.22,3.56,4.24,4.82,2.05,5.42,3.37,11.22,1.37,6.3,2.32,4.14,7.2,2.91,3,2.6,4.52,3.77,2.94,7.23,3.23,4.29,5.82,4.22,3.73,4.75,5.72,1.65,1.84,5.9,3.38,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,2.34,4.28,2.48,3.52,4.31,5,4.1,2.29,1.06,1.22,2.96,2.85,0.33,3.91,1.09,2.11,2.81,2.17,3.89,3.4,12.11,2.29,5.12,2.42,3.61,5.41,6.56,4.81,2.03,9.02,2.37,0.8,6.4,2.94,5.86,2.4,4.94,6.4,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,8.19,6.03,6.66,4.94,4.84,14.27,4.03,3.8,7.36,7.39,1.8,9.45,8.38,5.78,6.91,5.14,3.44,5,8.25,9.31,3.6,2.36,5.87,2.25,2.27,8.13,5.83,7.84,3.29,3.26,9.76,9.9,7.42,1.11,12.62,6.46,5.25,11.11,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,3.64,4.66,6.63,2.93,5.34,4.33,4.66,6.44,5.65,4.42,2.79,2.58,7.97,7.18,3.52,7.55,6.38,4.14,5.78,4.05,3.61,5.6,3.86,4.53,2.91,6.46,3.01,4.22,9.95,6.11,6.37,12.82,6.21,9.64,3.47,1.57,3.29,7.58,8.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,7.51,5.05,9.09,8.99,4.51,5.08,4.8,2.31,4.33,7.54,5.16,7.3,7.03,10.2,8.56,4.44,10.3,11.69,5.11,1.53,8.36,10.46,6.29,4.95,8.32,6.35,7.09,4.9,1.02,3.48,6.12,10.75,6.33,3.37,4.38,1.94,12.08,5.45,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,45.5,50.01,55.98,43.58,43.32,65.14,51.18,41.2,50.19,48.29,38.72,44.29,57.28,48.84,62.95,50.39,58.21,51.39,53.72,47.22,54.99,49.19,60.91,36.09,51.02,54.66,53.66,51.6,43.58,57.38,59.79,54.93,54.51,53.47,49.76,36.23,50.32,58.02,52.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
