"ALNMOUTH, NETHER GRANGE - 5"" GAUGE",,,,,,,,,,,,,,,,,,,,,
Grid ref,NU247104,Long,-1.6116725,Lat,55.386949,Elevation,40,ft,,,,,,,,,,,,,
Station no,3591,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.38,2.22,1.32,3.09,1.69,3.03,2.02,2.28,2.69,0.98,1.56,1.59,1.7,3.96,,,,
February,,,,3.58,1.3,3.22,2.42,0.83,0.93,0.74,0.91,1.28,0.59,2.15,0.5,1.39,2.94,,,,
March,,,,1.53,0.83,2.05,0.48,2.04,2.96,0.35,1.99,0.62,2.68,1.08,2.89,1.36,2.17,,,,
April,,,,1.97,1.58,2.69,1.52,1.38,1.48,1.28,1.86,2.64,1.49,2.03,5.59,3.75,0.99,,,,
May,,,,2.47,5.54,2.62,2.2,1.85,0.83,1.17,1.22,2.43,3.49,0.83,1.14,1.34,1.41,,,,
June,,,0.83,1.18,2.95,0.15,2.51,3.28,4.76,1.65,0.82,2.82,1.05,1.5,2.4,2.23,2.02,,,,
July,,,5.71,1.72,4.19,2.45,4.59,2.87,1.4,3.07,4.39,2.65,2.36,1.92,2.08,0.48,2.52,,,,
August,,,2.01,3.78,3.15,2.48,2.57,3.74,3.9,3.07,4.62,2.22,1.86,2.33,3.16,1.87,1.03,,,,
September,,,3.1,1.73,2.7,4.23,3.27,3.62,1.04,0.73,2.73,2.41,3.58,1.63,1.61,2.5,3.2,,,,
October,,,2.56,2.15,3.9,1.69,4,1.73,2.18,2.34,2.59,1.17,4.08,4.41,3.8,2.99,1.62,,,,
November,,,1.15,4.21,1.35,2.32,4.01,2.75,2.47,3.85,3.58,3.8,0.76,3.33,3.18,2.95,2.53,,,,
December,,,3.08,3.14,2.42,3.53,0.66,2.64,1.48,3.69,2.72,1.44,1.11,1.57,3.88,2.74,1.33,,,,
Total,,,,28.84,32.13,28.75,31.32,28.42,26.46,23.96,29.71,26.17,24.03,24.34,31.82,25.3,25.72,,,,
