OTTERY-ST-MARY-GREAT-BRAKE,,,,,,,,,,,,,,,,,,,,
Grid ref,SY062937,Long,-3.33034,Lat,50.73585,Elevation,480,ft,,,,,,,,,,,,
Station no,1814/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,6.19,6.71,3.64,6.54,2.26,4.85,4.44,,,,,,,,
February,,,,,,3.78,6.46,0.95,1.75,4.39,4.21,0.29,,,,,,,,
March,,,,,,4.43,5.5,0.18,1.4,2.34,2.45,2.83,,,,,,,,
April,,,,,,2.46,3.51,0.18,2.32,3.08,7.58,0.79,,,,,,,,
May,,,,,,0.64,2.71,2.89,0.86,1.85,2.16,5.61,,,,,,,,
June,,,,,,1.91,0.78,2.47,2.39,1.88,1.98,0.59,,,,,,,,
July,,,,,,6.23,4.26,3.91,6.56,1.91,1.13,1.29,,,,,,,,
August,,,,,,0.1,1.46,4.23,3.03,0.11,3.63,4.96,,,,,,,,
September,,,,,,3.27,3.43,1.71,1.19,1.73,0.86,3.29,,,,,,,,
October,,,,,,1.22,4.36,3.2,5.28,4.65,1.47,3.21,,,,,,,,
November,,,,,,3.39,2.55,5.45,6.88,6.32,3.01,1.04,,,,,,,,
December,,,,,,3.39,4.1,3.05,1.67,3.29,2.07,4.72,,,,,,,,
Total,,,,,,37.01,45.83,31.86,39.87,33.81,35.4,33.06,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1943 Station terminated,,,,,,,,,,,,,,,,,,,,
