CUCKFIELD-HILFIELD-HOUSE,,,,,,,,,,
Grid ref,TQ307246,Long,-0.13849293,Lat,51.005947,Elevation,300,ft,,
Station no,RR7723,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,0.89,3.97,1.6,1.5,4.13,
February,,,,,4.58,4.93,4.79,1.23,1.57,
March,,,,,5.1,0.93,4.21,2.09,1.18,
April,,,,,2.16,1.75,1.57,2.21,3.17,
May,,,,,1.31,4.3,2.9,1.16,1.2,
June,,,,,0.71,0.84,3.08,2.06,2.1,
July,,,,,2.14,4.91,0.76,2.83,5.92,
August,,,,,1.03,1.76,2.74,6.5,1.48,
September,,,,,1.43,2.2,2.43,1.87,6.66,
October,,,,,2.29,3.32,5.43,6.18,2.33,
November,,,,,4.26,2.96,5.47,2.16,2.93,
December,,,,,8.57,7.88,4.14,2.33,3.13,
Total,,,,,34.47,39.75,39.12,32.12,35.8,
