CRANLEIGH-LAMBSWOOD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ076396,Long,-0.46314,Lat,51.14559,Elevation,300,ft,,,,,,,,,,,,
Station no,175/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.98,1.85,2.79,2.84,4.81,1.05,0.84,4.51,2.46,1.61,1.8,3.74,4.96,2.8,3.4,3.35,3.72
February,,,,0.68,2.39,2.55,2.03,1.98,1.87,5.56,6.96,0.92,1.63,2.71,1.9,0.49,4.87,2.82,0.06,2.57
March,,,,0.17,2.04,1.51,6.03,0.82,1.13,1.56,4.62,3.09,0.46,3.1,1.7,0.99,1.87,2.29,3.3,1.74
April,,,,1.43,1.24,2.78,2.31,1.91,1.83,2.54,2.91,2.19,2.59,0.37,0.14,1.42,0.41,1.05,2.81,0.96
May,,,,0.59,1.98,3.01,1.34,3.21,1.92,1.5,2.91,2.58,2.59,2.2,4.28,0.42,1.62,2.89,0.49,1.3
June,,,,1.53,3.04,2.88,3.25,4,0.88,1.49,1.47,1.48,1.92,3.68,2.32,2.5,1.49,5.13,1.01,2.66
July,,,,2.03,4.48,1.78,1.6,1.2,0.49,3.6,2.49,1.2,4.02,2.93,1.22,3.73,4.85,1.45,1.25,3.11
August,,,,2.8,1.8,6.41,0.54,4.19,1.49,3.8,5.14,2.91,2.17,3.03,1.45,3.51,3.46,4.56,2.79,4.61
September,,,,2.12,2.58,4.51,1.36,2.15,1.45,3.1,3.12,2.78,3.38,2.84,2.06,3.85,3.3,4.4,0.08,3.23
October,,,,4.24,4.55,0.96,0.37,2.31,8,0.38,1.13,4.18,3.62,2.99,4.39,1.09,1.84,2.87,3.19,7.58
November,,,,4.9,0.12,5.39,1.49,1.91,3.3,6.16,9.08,3.7,2.05,6.3,2.35,1.05,2.98,2.51,4.28,5.98
December,,,,2.91,3.83,3.6,2.72,4.8,1.44,,3.83,3.01,0.72,2.63,3.55,5.07,3.12,3.92,6.62,4.3
Total,,,,25.38,29.9,38.17,25.88,33.29,24.85,,48.17,30.5,26.76,34.58,29.1,29.08,32.61,37.29,29.23,41.76
,,,,,,,,,,,,,,,,,,,,
1950 Dec Marked as estimated,,,,,,,,,,,,,,,,,,,,
1955 Mar 8 Inspection Gauge sound Measure Camden Site unorthodox on top of reservoir but protected by trees Best available,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Cranleigh SRC_ID 6397,,,,,,,,,,,,,,,,,,,,
1944-1964,,,,,,,,,,,,,,,,,,,,
