KETTERING-WORKHOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SP871781,Long,-0.72142359,Lat,52.394002,Elevation,297,ft,,,,,,,,,,,,
Station no,RR8248,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,0.9,4.04,0.96,1.11,1.11,1.78,0.76,3.27,,,,,,,
February,,,,,,0.6,1.87,1.23,0.98,0.36,2.32,1.1,2.34,,,,,,,
March,,,,,,2.64,1.51,1,2.9,2.45,0.72,1.76,2.1,,,,,,,
April,,,,,,2.05,0.52,1.83,2.6,0.85,1.57,0.71,0.11,,,,,,,
May,,,,,,1.13,1.43,4.09,1.62,1.26,2.59,3.24,2.04,,,,,,,
June,,,,,,3,4.5,2.25,0.98,3.35,1.04,1.29,3.87,,,,,,,
July,,,,,,1.01,1.21,2.59,1.97,2.76,1.47,0.13,5,,,,,,,
August,,,,,,2.62,0.93,1.74,2.82,1.83,1.62,2.67,7.57,,,,,,,
September,,,,,,1.98,1.02,0.64,1.62,3,0.46,1.3,0.95,,,,,,,
October,,,,,,1.04,4.3,4.09,1.24,3.44,2.07,1.76,2.15,,,,,,,
November,,,,,,2.43,3.92,2.23,0.99,0.66,3.22,2.4,1.7,,,,,,,
December,,,,,,0.8,2.29,3.34,1.17,4.34,6.08,3.5,2.64,,,,,,,
Total,,,,,,20.2,27.54,25.99,20,25.41,24.94,20.62,33.74,,,,,,,
