KETTERING WORKHOUSE,,,,,,,,,,,,
Grid ref,SP870681,Long,-0.725480,Lat,52.304138,,,,,,,
Station no,RR8248,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.90,4.04,0.96,1.11,1.11,,
February,,,,,,0.60,1.87,1.23,0.98,0.36,,
March,,,,,,2.64,1.51,1.00,2.90,2.45,,
April,,,,,,2.05,0.52,1.83,2.60,0.85,,
May,,,,,,1.13,1.43,4.09,1.62,1.26,,
June,,,,,,3.00,4.50,2.25,0.98,3.35,,
July,,,,,,1.01,1.21,2.59,1.97,2.76,,
August,,,,,,2.62,0.93,1.74,2.82,1.83,,
September,,,,,,1.98,1.02,0.64,1.62,3.00,,
October,,,,,,1.04,4.30,4.09,1.24,3.44,,
November,,,,,,2.43,3.92,2.23,0.99,0.66,,
December,,,,,,0.80,2.29,3.34,1.17,4.34,,
Total,,,,,,20.20,27.54,25.99,20.00,25.41,,
Calc annual,0.00,0.00,0.00,0.00,0.00,20.20,27.54,25.99,20.00,25.41,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
