HAYWARDS-HEATH-PADDOCKHALL-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ326241,Long,-0.11161,Lat,51.001019,Elevation,260,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.52,2.39,3.67,4.04,2.81,5.29,1.27,4.13,2.7,3.64,2.59,3.19,0.92,5.06,6.29,4.06,5.73,3.01,2.79,3.39,6.34,2.79,2.16,2.78,2.56,5.62,,1.2,3.96,2.85,1.49,1.48,3.53,5.01,2.91,4.17,3.4,3.7
February,,,,4.91,0.61,4.44,2.96,4.81,1.9,0.87,1.2,2.35,0.35,2.94,0.2,4.73,2.47,5.53,0.96,1.72,3.16,3.75,0.64,1.93,0.98,2.17,3.29,2.46,1.66,,5.92,7.39,1.06,1.5,2.69,1.76,0.55,4.81,2.74,0.02,2.54
March,,,,2.62,1.89,0.64,0.43,3.93,2.13,0.03,1.61,0.5,1.69,2.91,2.75,0.59,1.71,4.05,0.74,1.43,3.31,3.54,3.35,0.34,0.12,1.67,1.47,6.94,0.98,,1.79,3.93,3.07,0.41,3.8,1.19,0.8,1.68,1.92,1.96,1.88
April,,,,2.66,2.96,2.7,4,2.09,2.55,0.75,2.5,3.61,2.37,0.71,3.03,3.26,2.3,3.23,0.41,2.86,1.34,1.4,1.45,1.63,2.07,1.22,1.84,2.03,1.79,,2.32,3.05,1.87,3.07,0.41,0.35,1.74,0.2,1.12,2.72,1
May,,,,3.31,4.67,3.1,1.97,1.09,1.5,2.41,2.56,2.58,3.57,1.96,0.62,1.45,0.83,2.48,2.36,1.49,2.12,2.03,3.36,2.59,1.22,2.27,2.82,1.21,2.8,,1.02,2.37,2.31,1.92,2.05,5.42,0.53,1.25,3.02,0.55,1.54
June,,,,0.35,2.83,0.17,3.37,5.2,2.27,1.99,0.76,1.73,1.63,2.18,1.48,3.24,3.96,1.58,0.71,1.31,0.22,1.74,0.44,1.65,1.5,2.65,3.78,3.41,2.58,,1.24,2.47,1.18,1.94,4.4,1.81,2.84,1.42,5.17,1.33,1.73
July,,,,4.81,4.26,4.61,1.91,2.03,1.79,2.52,2.83,3.43,4.2,1.81,1.99,0.74,4.82,1.23,1.8,2.74,3.13,2.47,2.19,2.31,3.18,5.48,1.74,1.75,2.13,,3.2,2.59,1.12,3.49,4.44,0.98,4.74,4.83,2.41,1.75,4.67
August,,,,2.04,3.82,2.33,2.74,5.18,2.36,2.77,4.4,3.85,0.48,1.54,2.35,4.96,0.49,2.4,1.36,2.6,0.05,4.31,3.33,1.2,2.3,2.28,6.42,0.56,4.09,,2.31,6.24,3.83,2.48,3.55,0.83,3.47,2.91,5.44,1.39,5.31
September,,,,2.28,3.75,2.34,0.68,5.79,1.01,2.29,3.27,2.17,2.72,3.41,2.05,4.84,2.42,2.79,3.57,0.7,1.73,0.44,2.14,1.71,3.07,2.19,4.65,2.04,2.02,,3.58,3.53,3.14,5.05,3.57,3.17,3.37,4.52,4.57,0.11,4.02
October,,,,6.65,4.15,3.66,2.56,2.47,7.68,4.32,2.02,0.57,8.48,1.77,2.2,4.97,1.51,3.03,4.7,6.24,3.97,1.09,3.86,3.13,4.96,3.5,1.1,0.55,2.03,,0.51,1.7,4.07,4.45,2.7,4.15,1.68,1.59,3.52,3.59,8.25
November,,,,2.23,3.25,3.95,7.61,4.09,3.96,9.08,6.25,4.7,1.62,1.19,4.77,8.06,5.71,2.02,4.34,7.16,8.24,4.26,1.98,1.95,5.14,0.19,5.46,1.67,1.75,,7.78,6.87,4.66,1.59,6.36,1.7,0.95,3.63,2.38,3.74,6.52
December,,,,3.59,5.31,4,0.49,4.45,4.01,7.49,3.1,1.27,0.72,0.87,8.51,4.55,3.43,3.78,3.75,1.97,2.42,2.36,3.29,2.48,2.84,4.87,3.66,3.07,4.24,,2.74,3.66,3.15,0.9,2.79,3.47,4.81,2.34,4.89,8.74,3.75
Total,,,,36.97,39.89,35.61,32.76,43.94,36.45,35.79,34.63,29.46,31.47,23.88,33.14,42.31,34.71,38.41,28.76,35.95,32.7,30.18,29.42,27.26,30.17,30.65,39.01,28.25,31.69,,33.61,47.76,32.31,28.29,38.24,28.36,30.49,32.09,41.35,29.3,44.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
