ABBOTSKERSWELL COURT GRANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX855685,Long,-3.615,Lat,50.5055,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,5.87,1.37,10.12,1.85,7.19,2.15,,2.5,4.92,4.95,3.02,,,1.75,1.14,6.79,3.49,2.24,2.83,4.84,5.21,0.63,2.73,1.29,8.38,7.06,4.05,2.11,5.02,6.86,2.17,6.95,1.77,1.63,1.99,4.83,1.28,5.72,8.83,1.32,4.17,,,,
February,,,,,,1.87,5.13,1.8,2.33,5.87,5.64,,2.14,7.77,6.54,4.29,,,0.76,1.57,1.59,0,2.79,5.91,2.01,0,0.7,3.24,2.15,6.93,7.76,0.98,2.51,2.84,7.85,1.12,5,2.14,2.22,0.5,7.28,2.95,4.57,2.12,6.71,8.55,,,,
March,,,,,,1.32,4.72,2.93,2.46,0.51,3.39,,2.19,0.97,1.99,1.37,,,6.68,4.84,1.41,2.91,1.11,0.79,1.66,3.47,3.07,5.27,2.76,0.96,2.19,5.08,2.43,6.91,2.97,6.97,1.43,0.96,3.61,7.33,0.95,4.01,7.78,5.29,6.87,1.18,,,,
April,,,,,,1.58,3.45,6.54,4.73,3.81,2.34,,6.46,0.81,2.87,3.53,,,1.86,1.53,2.46,1.56,0.8,0.4,3.02,1.18,0,4.44,2.16,3.92,1.35,4.25,1.39,1.97,1.36,3.5,1.17,6.28,2.85,2.38,2.71,1.59,0.47,5.52,1.98,1.12,,,,
May,,,,,,2.41,0.97,3.03,4.94,2.52,0.78,,1.65,2.07,1.67,2.61,,,3.05,2.11,1.73,4.14,0.69,1.53,2.49,0.46,0,1.55,3.74,2.49,2.27,2.34,1.2,2.79,2.81,0.61,2.11,4.32,1.82,1.22,2.82,0.88,1.59,3.77,1.53,3.5,,,,
June,,,,,,3.94,1.26,2.42,3.91,6.37,2.43,,4.11,3.79,1.13,0.92,,,2.89,0.49,2.1,3.97,1.68,0.89,1.67,1.05,2.4,3.49,1.71,1.26,3.61,1.57,3.53,2,1.7,4.05,2.57,2.64,0.31,5.62,1.95,2.74,4.41,0.6,1.48,1.98,,,,
July,,,,,,3.98,0.8,2.48,1.35,3.7,2.79,,3.17,3.1,1.99,0.33,,,5.97,1.63,2.52,3.07,1.56,4.33,3.51,3.07,1.23,1.28,0.5,0.73,0.35,3.28,2.8,4.62,5.78,1.11,0.82,1.86,2.09,2.55,2.87,0.63,2.35,0.33,3.72,2.94,,,,
August,,,,,,2.41,3.46,5.89,6.03,6.48,0.88,,1.17,1.28,1.16,3.18,,,2.95,1.06,3.25,5.47,4.04,0.81,3.36,2.67,1.3,4.12,3.07,2.69,2.45,0.71,2.34,4.71,3.06,3.7,1.6,1.01,4.05,1.9,5.29,0.76,8.65,0.51,3.08,1.79,,,,
September,,,,,,4.3,7.55,2.5,2.01,4.84,4.04,,5.56,5.31,1.84,2.63,,,0.31,1.51,1.14,1.88,2.59,1.26,3.44,0.11,5.91,3.46,0.92,1.54,1.28,5.2,2.81,4.68,3.24,2.28,0.99,1,4.44,1.45,0.3,2.29,1.06,2.89,3.61,1.06,,,,
October,,,,,,8.22,4.54,2.91,4.53,1.08,9.41,,6.87,3.97,1.09,6.63,,,1.68,4.79,0.48,10.76,5.28,3.48,7.24,4.54,4.46,1.37,8.98,3.98,2.25,1.43,3.99,9.09,2.42,2.15,6.93,9.91,2.56,8.75,6.34,5.31,6.56,4.05,3.45,6.35,,,,
November,,,,,,6.31,6.37,8.18,3.59,0.34,5.19,,5.15,4.66,1.6,5.02,,,10.18,2.58,3.37,5.7,2.68,1.69,8.53,8.65,1.01,1.73,5.05,4.98,4.08,0.68,5.87,1.98,2.26,6.21,4.27,5.58,1.12,1.35,5.69,5.66,2.39,5.05,5.73,3.38,,,,
December,,,,,,1.72,11.89,2.15,3.49,0.94,5.14,,5.05,1.37,5.24,2.68,,,4.15,2.7,4.41,6.39,1.31,5.24,2.51,5.29,8.39,9.63,5.1,5.32,7.7,8.73,3.56,6.1,3.93,1.41,2.11,6.37,5.02,7.89,10.26,13.67,6.82,2.77,11.49,11.76,,,,
Total,,,,,,43.93,51.51,50.95,41.22,43.65,44.18,,46.02,40.02,32.07,36.21,,,42.23,25.95,31.25,49.34,26.77,29.16,44.28,35.7,29.1,42.31,37.43,43.18,42.35,38.3,34.54,52.71,44.24,35.28,35.95,43.84,31.72,42.93,51.29,41.77,52.37,41.73,50.97,47.78,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR and elevation verified to OS map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
