KEYMER-THE-LIMES (LODGE LANE),,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ314150,Long,-0.13198522,Lat,50.919508,Elevation,165,ft,,,,,,,,,,,,,
Station no,494,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,2.95,6.09,1.51,5.09,3.07,4.24,3.26,3.57,0.68,4.02,6.72,4.32,,
February,,,,,,,,5.26,1.78,1.42,1.15,2.81,0.2,3.16,0,4.62,2.26,6.09,1.45,,
March,,,,,,,,4.42,2.22,0.03,1.84,0.43,1.86,3.41,3.83,0.47,1.67,4.44,0.59,,
April,,,,,,,,1.99,2.76,0.85,2.09,3.39,2.62,0.8,3.23,3.86,2.41,3.24,0.39,,
May,,,,,,,,1.17,1.43,2.85,2.07,2.58,3.24,2.51,0.47,2.39,0.34,2.81,2.81,,
June,,,,,,,,3.89,2.57,1.96,0.84,1.81,1.99,1.79,1.4,2.48,6.13,1.05,0.53,,
July,,,,,,,,2.4,2.17,1.47,3.36,4.27,3.46,2.79,1.71,0.61,4.4,0.95,2.51,,
August,,,,,,,,4.59,2.27,3.18,4.57,3.56,0.76,1.41,2.91,4.93,0.91,1.22,1.24,,
September,,,,,,,,6.51,0.75,2.1,4.04,2.34,3.42,3.24,1.91,6.33,2.44,2.2,3.12,,
October,,,,,,,,2.7,9.57,4.94,2.8,0.42,8.9,1.89,2.41,4.11,1.53,3.45,5.1,,
November,,,,,,,,4.17,4.87,11.14,6.54,5.63,2.19,1.56,5.77,8.57,7.34,1.55,4.54,,
December,,,,,,,,3.26,4.59,8.4,4.27,1.59,1.11,0.85,9.38,5.03,3.68,4.21,3.91,,
Total,,,,,,,,43.31,41.07,39.85,38.66,31.9,33.99,26.67,36.59,44.08,37.13,37.93,30.51,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1927 Gauge move,,,,,,,,,,,,,,,,,,,,,
1934 Dash=zero,,,,,,,,,,,,,,,,,,,,,
