THETFORD-LYNFORD-NURSERY,,,,,,,,,,,,,,,,,,,,
Grid ref,TL818912,Long,0.67617392,Lat,52.488418,Elevation,99,ft,,,,,,,,,,,,
Station no,1457/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,1.13,1.31,1.93,2.58,3.31,2.31,4.54,1.86,2.06,3.29,4.36,,,,,,,
February,,,1.85,0.46,1.94,2.42,2.95,0.63,0.92,1.79,2.37,1.11,0.8,,,,,,,
March,,,2,1.71,0.55,0.64,3.76,0.53,2.01,2.66,3.69,1.88,0.56,,,,,,,
April,,,1.28,1.83,2.29,1.54,2.75,0.54,2.03,1.25,1.3,0.9,,,,,,,,
May,,,1.49,1.04,0.82,1.42,2.03,2.17,1.05,1.13,1.79,1.77,,,,,,,,
June,,,2.34,2.93,3.15,2.78,1.47,1.19,1.58,0.69,1.16,0.92,,,,,,,,
July,,,2.04,1.18,0.73,5.14,1.7,1.28,2.31,2.26,1.91,3.52,,,,,,,,
August,,1.49,1.14,1.66,0.94,1.13,1.89,1.93,2.56,0.31,4.09,1.52,,,,,,,,
September,,,2.48,1.92,3.93,3.6,1.95,2.83,2.15,0.93,0.44,2.04,,,,,,,,
October,,4.02,2.35,1.5,2.26,1.54,1.66,2.86,4.32,1.72,2.06,3.43,,,,,,,,
November,,1.39,2.08,1.13,3.1,2.69,1.79,2.14,3.76,6.11,2.08,3,,,,,,,,
December,,0.49,0.72,4.13,1.97,1.38,3.04,2.87,1.54,1.89,1.48,2.61,,,,,,,,
Total,,,20.9,20.8,23.61,26.86,28.3,21.28,28.77,22.6,24.43,25.99,,,,,,,,
