OTTERBURN IN CRAVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD882577,Long,-2.181567,Lat,54.015173,Elevation,503,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,1.48,5.36,6.81,5.07,7.15,2.22,7.17,5.64,1.3,0.55,0.72,4.4,6.63,7.9,2.61,5.82,2.68,1.82,1.95,5.69,3.1,2.44,1.54,5.47,3.51,2.3,,,
February,,4.35,4.38,0.82,2.05,0.99,6.22,4.53,1.62,2.71,3.78,5.86,3.55,3.24,2.99,3.05,0.95,1.36,1.18,2.35,0.77,0.37,3.05,5.92,7.47,0.47,1.69,,,
March,,2.51,4,2.86,4.98,1.2,5.54,3.76,2.58,2.44,3.09,5.05,4.83,0.95,3.42,2.92,4.08,1.73,3.14,2.24,2.66,2.09,1.25,1.59,4.48,4.44,5.83,,,
April,,3.65,3.12,0.79,1.99,1.75,2.52,4.05,2.25,1.57,1.9,1.71,4.25,2.45,1.14,1.49,3.66,1.28,1.72,2.3,1.7,1.55,1.71,0.57,1.9,2.8,2.44,,,
May,,1.51,2.21,1.96,1.97,2.67,0.66,2.4,4.8,1.48,2.8,3.65,1.79,1.15,2.57,2.45,4.61,2.16,1.43,2.09,2.87,2.38,4.66,2.28,2.93,0.75,0.41,,,
June,,3.46,6.04,2.06,1.06,3.98,3.01,1.78,5.4,6.11,5.06,2.59,5.26,3.86,0.25,2.08,2.19,0.24,2.46,0.92,3.12,0.95,4.05,2.62,2.55,2.15,3.05,,,
July,,7.73,4.52,4.82,2.93,5.58,2.57,5.21,1.01,6.26,6.19,6.68,6.59,3.68,5.11,2.07,3.98,2.01,5.07,3.51,3.8,4.9,1.86,3.72,4.61,6.75,3.52,,,
August,,2.58,5.83,4.34,6.97,2.94,4.27,7.67,7.11,6.51,3,6.47,4.17,3.65,2.16,1.29,2.1,2.72,4.26,5.83,6.88,9.12,8.71,4.39,4.16,5.15,2.35,,,
September,,4.18,8.01,3.73,4.65,4.56,4.82,3.95,4.8,3.13,3.52,3.02,3,7.57,2.62,5,4.63,7.08,1.01,1.82,2.43,3.48,4.23,4.36,0.45,1.96,7.06,,,
October,,4.88,5.51,6.05,6.38,3.56,3.37,7.3,5.31,1.85,3.38,4.23,3.53,6.94,3.54,4.68,5.92,2.78,1.71,4.69,2.78,4.42,6.85,5.86,5.2,4.94,3.5,,,
November,,1.8,5.53,3.34,4.71,5.68,4.22,6.98,3.2,1.53,5.82,6.72,7.4,4.65,2.54,2.35,3.96,2.46,6.32,1.72,5.97,4.45,2.35,2.33,3.66,3.2,1.26,,,
December,,2.76,4.31,1.88,4.78,2.57,8.12,5.07,2.25,3.11,5.56,4.07,4.69,3.26,6.38,2.23,5.93,3.17,2.7,2.45,1.08,7.67,2.5,4.26,4.24,4.95,4.87,,,
Total,,40.89,58.82,39.46,47.54,42.63,47.54,59.87,45.97,38,44.65,50.77,53.46,48.03,40.62,32.22,47.83,29.67,32.82,31.87,39.75,44.48,43.66,39.44,47.12,41.07,38.28,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Observer William Gomersall, farmer of 300 acres living at Hill House, Otterburn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR for Hill House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
