"CORSOCK, MONYBUIE",,,,,,,,,,,,,,,,,,,,,
Grid ref,NX738 821,Long,-3.9802308,Lat,55.117172,Elevation,580,ft,,,,,,,,,,,,,
Station no,RR4211,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,3.42,7.02,6.63,3.72,4.19,,1.71,3.69,1.67,2.58,4.04,6.38,,,,,,,,
February,,6.09,4.34,3.6,7.54,11.17,,1.21,1.46,0.38,1.07,0.52,5.14,,,,,,,,
March,,1.5,6.9,5.6,6.78,1.51,0.9,2.26,1.19,2.04,2.64,3.61,2.58,,,,,,,,
April,,4.83,1.01,4.82,2.76,3.68,3.26,1.65,0.59,1.36,1.68,0.68,2.56,,,,,,,,
May,,3.66,1.76,5.01,2.23,1.66,4.07,2.08,1.29,0.36,2.66,1.63,3.77,,,,,,,,
June,,3.98,5.78,2.81,0.73,1.61,1.63,2.21,0.97,1.86,1.38,0.14,2.39,,,,,,,,
July,,2.48,3.28,1,3.82,3.87,4.69,1.32,2.97,0.57,3.29,4.02,5.41,,,,,,,,
August,,3.95,4.51,1.97,4.73,2.12,3.62,4.16,2.79,2.78,1.78,6.92,4,,,,,,,,
September,1.62,2.28,2.49,3.43,1.99,1.68,1.74,1.85,4.04,3.52,3.47,2.03,2.11,,,,,,,,
October,3.25,5.56,4.28,3.75,2.9,5.21,7.78,4.15,3.6,1.74,2.88,3.1,2.99,,,,,,,,
November,4.61,6.31,3.17,6.39,6.18,,4.19,1.92,2.82,2.3,2.43,3.46,2.74,,,,,,,,
December,7.79,11.18,8.81,4.25,8.39,,4.54,1.13,1.95,3.86,2.88,7.01,6.29,,,,,,,,
Total,,55.24,53.35,49.26,51.77,,,25.65,27.36,22.44,28.74,37.16,46.36,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"1922 Jan 6.38, Aug 4.0 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,
