ENNISCORTHY BALLYHYLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IS8819140769,Long,-6.701593,Lat,52.511473,Elevation,365,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,3.07,4.57,7.56,4.87,4.74,6.06,7.48,2.92,6.88,2.04,6.74,2.51,4.89,1.26,2.62,3.05,7.31,5.38,4.59,3.86,4.66,5.24,2.51,5.27,2.72,1.44,4.42,4.91,4.88,1.74,4.01,3.71,5.81,3.71,3.82,2.22,7.07,4.28,2.14,5.18,0.9,2.8,1.86,3.29,1.95,5.72,9.02,1.84,3.32,2.21,3.43,3.55,5.23
February,,,,,,,3.02,3.93,2.32,2.56,3.7,3.53,5.19,2.1,3.16,2.64,6.69,1.98,3.46,5.73,4.68,5.25,5.84,7.13,7.87,6.56,3.75,0.86,0.96,2.61,2.43,0.32,4.13,3.29,2.14,1.97,2.26,2.3,1.8,4.75,5.45,1.82,4.11,3.45,5.18,1.39,3.19,1.83,2.2,0.8,4.76,3.1,5.3,2.74,5.67,5.47,5.96,1.58,4.55,4.01
March,,,,,,,3.95,4.68,2.99,2.62,3.37,1.92,4.76,3.92,1.49,1.51,3.37,3.59,1.22,2.49,4.17,3.68,2.4,1.92,4.56,3.85,3.99,1.76,4.04,1.32,4.26,1.31,1.16,0.56,1.94,3.81,3.04,6.11,0.49,1.41,1.13,2.91,2.51,6.64,3.19,4.88,2.56,1.06,3.86,4.21,2.36,2.18,3.96,3.69,4.69,1.22,2.87,4.14,2.57,3.3
April,,,,,,,2.76,3.04,3.22,3.11,1.02,4.61,3.12,1.17,1.97,0.98,3.19,5.52,3.76,2.68,3.91,2.13,5.87,3.23,1.01,4.12,2.53,1.82,2.51,2.46,1.67,2.87,1.02,0.78,4.69,2.33,0.72,5.38,5.6,2.86,2.81,3.4,3.61,1.31,1.63,4.59,1.27,3.59,2.72,5.2,2.89,2.63,1.17,4.54,1.43,1.31,2.41,1.3,1.87,1.96
May,,,,,,,1.98,5.09,2.84,5.29,2.69,0.51,1.89,2.77,1,2.48,0.74,3.97,5.01,1.68,1.09,3.08,3.02,2.52,2.61,2.89,4.08,1.36,3.19,3.85,3.6,3.99,3.75,2.17,4.51,0.45,0.07,1.68,3.39,3.18,3.29,1.95,2.28,3.64,2.67,1.36,3.47,4.81,2.6,2.24,2.41,1.74,1.13,5.68,1.94,3.02,5.2,3.43,2.81,2.81
June,,,,,,,3.72,0.72,1.69,0.69,0.86,3.01,4.13,1.41,1.09,2.62,1.48,2.22,4.44,7.49,2.66,5.55,4.17,1.98,1.35,1.37,1.83,0.25,5.12,1.18,3.59,4.14,3.09,1.87,2.86,3.51,1.8,3.1,3.27,2.3,4.88,2.98,3.95,5.04,2.48,1.62,2.36,4.96,1.07,2.77,4.51,2.7,7.3,1.86,1.15,1.63,3.53,2.36,1.63,2.96
July,,,,,,,1.14,4.52,0.93,1.3,0.82,7,2.05,4.53,2.07,4.51,2.54,2.94,1.6,4.26,6.65,2.59,5.31,4.65,3.49,1.9,3.84,2.92,7.13,2.38,2.73,2.62,5.12,2.15,4.45,4.55,5.51,2.14,2.02,4.3,3.8,0.66,3.79,6.64,3.82,2.26,1.44,3.4,4.34,3.17,3.45,4.03,6.49,0.31,4.36,5.62,2.56,2.14,4.31,1.3
August,,,,,,,3.76,3.31,5.34,1.21,2.71,4.37,4.96,6.93,4.33,2.09,4.67,6.4,3.31,5.98,2.3,5.04,5.91,3.89,0.86,4.04,3.62,3.11,2.49,4.59,2.6,6.87,6.59,4.54,3.8,5.51,1.15,6.76,5.15,1.47,4.42,4.33,3.11,5.26,3.76,5.37,2.71,2.63,5.59,1.25,7.07,2.51,5.62,1.34,5.37,3.34,2.42,8.52,2.8,3.25
September,,,,,,,5.54,2.71,6.92,8.11,2.36,4.65,4.11,3.41,2.54,6.62,5.31,4.03,2.24,5.92,3.71,2.74,4.53,5.31,2.75,4.57,4.51,1.85,0.72,1.04,2.46,3.47,3.54,0.96,1.53,1.85,6.92,2.94,2.42,2.42,1.32,5.56,3.96,3.59,4.39,2.34,1.28,1.25,6.94,3.77,0.99,5.03,0.73,3.96,2.21,2.09,2.58,1.94,8.33,2.69
October,,,,,,,2.36,3.97,2.72,1.33,5.66,5.32,4.87,3.95,5.54,8.85,6.08,5.99,3.74,1.02,5.67,3.73,4.86,3.94,1.4,4.51,6.61,2,2.88,5.52,1.74,6.45,3.23,2.62,5.69,2.29,4.85,4.11,5.48,2.48,5.05,4.34,3.4,5.58,1.49,0.9,5.85,5.69,3.38,7.38,3.61,5.19,3.8,5.99,2.42,6.77,9.22,3.58,5.3,0.78
November,,,,,,,2.24,1.77,4.54,2.88,2.85,4.99,6.54,2.79,4.67,5.26,5.49,5.98,1.9,0.94,4.39,5.56,4.83,4.45,2.76,2.78,3.02,4.35,5.26,1.63,5.7,6.17,5.53,3.26,4.93,5.52,1.52,5.59,4.53,3.21,8.99,2.56,7.04,2.2,2.08,4.54,2.09,4.99,2.59,1.46,5.49,5.32,2.09,4.63,3.78,3.38,5.41,3.14,4.27,
December,,,,,,,3.69,1.51,8.91,5.27,1.69,2.76,9.57,0.79,3.59,1.89,8.52,4.88,2.02,1.75,4.15,3.58,5,1.65,4.51,1.34,5.66,2.39,6.52,4.21,2.73,6.76,1.98,3.69,3.5,6.35,8.74,5.89,3.05,5.76,4.76,4.81,4.16,6.61,3.5,2.38,3.4,5.21,5.65,6.2,6.03,10.82,4.94,2.01,9.22,7.91,3.89,2.71,6.02,
Total,,,,,,,,38.32,46.99,41.93,32.6,47.41,57.25,41.25,34.37,46.33,50.12,54.24,35.21,44.83,44.64,45.55,54.79,47.98,38.55,42.52,47.3,27.33,46.06,33.3,38.78,47.69,40.58,30.31,44.95,43.02,38.32,50.01,40.91,39.95,49.61,39.14,44.14,57.03,38.47,33.77,34.8,40.32,43.74,40.31,46.86,47.2,48.25,45.77,44.08,45.08,48.26,38.27,48.01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 Nov/Dec estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
