SPRINKLING TARN,,,,,,,,,,,,
Grid ref,NY227091,Long,-3.194278,Lat,54.471354,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,20.30,18.55,8.25,21.35,7.40,20.00,10.00,,
February,,,-999.00,23.25,,8.55,,7.90,,10.00,,
March,,,7.30,27.20,,16.90,-999.00,11.95,,4.00,,
April,8.30,,6.00,4.30,15.10,14.90,3.80,8.30,2.15,6.40,,
May,8.65,3.90,6.00,9.20,9.50,10.75,21.35,11.50,8.85,6.00,,
June,10.00,8.40,2.40,3.60,4.25,7.40,4.20,24.50,9.40,3.00,,
July,5.55,3.20,9.80,14.60,7.60,8.90,10.45,7.10,8.50,11.50,,
August,15.15,14.25,10.25,22.20,10.90,13.75,15.70,18.65,13.55,5.10,,
September,12.90,11.05,5.95,13.20,10.00,11.35,5.20,2.85,16.90,4.10,,
October,13.55,17.80,11.35,27.60,12.55,14.40,16.95,18.45,6.20,15.00,,
November,11.10,17.50,10.80,,15.20,14.85,15.05,,10.35,6.80,,
December,22.75,12.50,15.75,,16.30,13.70,10.80,,11.75,18.20,,
Total,128.40,113.85,98.80,189.30,140.45,143.70,142.70,,,100.10,,
Calc annual,107.95,88.60,85.60,165.45,119.95,143.70,124.85,118.60,107.65,100.10,,
Difference,20.45,25.25,13.20,23.85,20.50,0.00,17.85,NaN,NaN,0.00,,
