Rainfall at,SPRINKLING TARN
,
Station no,3623,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,24.00,26.00,,17.00,13.00,10.50,20.00,,,,24.00,
February,15.00,1.45,-999.00,17.30,3.50,14.45,23.40,,,,2.25,
March,18.00,21.00,,5.20,4.00,5.00,5.18,,,,9.85,
April,20.00,2.80,,10.00,7.50,15.00,7.32,,8.64,,5.04,
May,17.25,9.20,10.00,9.00,14.00,19.00,8.46,,1.50,9.65,5.60,
June,10.50,0.90,11.00,7.30,12.10,1.00,10.01,,17.20,8.95,7.05,
July,15.00,6.80,14.00,11.80,12.95,5.70,9.71,,21.90,16.50,7.60,
August,12.70,23.25,14.00,21.00,16.10,15.55,10.92,,18.95,23.95,21.76,
September,14.00,4.00,11.00,13.00,23.50,11.10,12.10,,13.95,4.78,10.10,
October,2.35,6.80,7.30,24.10,14.10,17.50,,,24.25,18.47,28.17,
November,10.00,7.50,7.50,21.00,17.00,5.00,30.10,,33.65,27.40,17.75,
December,12.00,22.00,17.00,13.30,25.00,13.00,5.00,,,23.76,15.25,
Total,170.80,131.70,131.52,170.00,162.75,132.80,142.20,,,,154.42,
Calc annual,170.80,131.70,91.80,170.00,162.75,132.80,142.20,0.00,140.04,133.46,154.42,
Difference,0.00,0.00,39.72,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,-0.00,
