BALLACHULISH,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 059 591,Long,-5.169938,Lat,56.683606,Elevation,20,ft,,,,,,,,,,,,,
Station no,RR2361,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900
January,,,12,11.48,12.16,8.28,8.2,11.82,10.95,11.19,19.33,9.35,11.26,6.18,13.21,3.1,8.03,2.6,11.74,6.78,11.02
February,,,8.7,10.11,13.01,14.2,4.65,10.63,2.77,6.39,1.9,5.58,2.99,8.6,16.41,0.49,8.08,7.81,10.2,6.33,4.03
March,,,12.7,4.14,9.54,6.26,5.95,2.73,5.54,5.53,10.68,5.57,2.3,4.71,11.22,6.6,12.43,12.63,8.09,9.95,0.63
April,,,4.21,3.69,2.09,4.45,8.34,3.86,4.14,4.49,3.82,1.86,2.37,3.81,2.73,5.93,5.4,6.29,8.19,6.21,5.87
May,,,5.4,4.81,6.01,4.71,3.68,1.73,8,3.35,3.77,2.32,8.58,2.88,6.16,2.21,1.4,5.41,2.71,3.16,
June,,,5.46,3.59,2.86,3.28,2.45,3.76,4.17,0.58,8.08,3.6,4.58,1.87,4.28,2.28,4.94,4.38,5.02,2.09,
July,,,6.32,2.77,7.09,3.16,5.48,8.12,3.8,1.54,6.87,3.46,6.89,6.04,7.22,5.8,3.65,6.62,3.16,4.93,
August,,,4.62,6.46,5.9,4.35,5.52,5,8.33,7.34,7.39,7.75,7.13,7.32,7.69,10.28,6.47,6.76,9.46,2.19,
September,,,6.09,4.04,7.56,13.59,10.14,4.25,2.88,3.26,8.15,13.49,16.12,9.04,0.16,4.89,9.86,8.67,10.31,8.09,
October,,,5.39,10.53,11.02,7.81,7.25,6.18,7.05,4.37,13.49,12.06,6.38,11.98,2.64,4.75,7.24,5.81,7.61,9.34,
November,,,11.04,14.28,10.22,6.14,10.43,7.16,11.56,4.44,11.47,7.65,9.54,7.71,14.93,11.78,5.53,7.31,7.43,12.5,
December,,,7.3,11.03,12.55,12.14,8.15,9.16,8.35,12.23,0.89,14.4,4.99,16.06,9.01,7.41,8.85,11.57,19.53,7.47,
Total,,,89.23,86.93,100.01,88.37,80.24,74.4,77.54,64.71,95.84,87.09,83.13,86.2,95.66,65.52,81.88,85.86,103.45,79.04,
,,,,,,,,,,,,,,,,,,,,,
1900 figures transcribed ,,,,,,,,,,,,,,,,,,,,,
from 1890s sheet,,,,,,,,,,,,,,,,,,,,,
