POTTERS BAR (SEWAGE DISPOSAL WKS),,,,,,,,,,,,
Grid ref,TL243024,Long,-0.202502,Lat,51.706578,,,,,,,
Station no,876/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.99,1.74,0.42,0.65,2.23,3.95,1.28,2.86,2.55,2.28,,
February,4.86,0.69,1.73,2.19,1.75,0.47,3.10,2.66,0.12,2.23,,
March,2.88,2.28,0.61,2.68,1.24,1.00,1.11,1.23,2.04,1.64,,
April,3.33,1.61,2.63,0.30,0.42,0.97,0.26,1.41,2.66,0.55,,
May,2.27,1.30,1.52,2.18,5.04,0.66,0.86,2.76,1.38,2.23,,
June,0.70,1.36,1.79,4.14,2.05,2.61,1.90,4.62,,1.47,,
July,0.97,0.62,3.10,3.28,0.23,4.75,3.07,2.03,,3.61,,
August,2.75,4.56,1.70,4.07,1.53,4.99,,2.60,,2.79,,
September,3.07,4.04,1.59,1.81,1.45,2.51,,3.51,,3.28,,
October,0.86,2.65,2.87,2.76,3.93,2.50,,2.54,,5.71,,
November,4.44,3.46,1.52,4.23,1.38,0.54,2.15,2.12,,4.08,,
December,1.79,2.48,0.52,1.57,1.81,3.69,2.52,3.12,,2.88,,
Total,30.91,26.79,20.00,29.86,23.06,28.64,,31.46,,32.75,,
Calc annual,30.91,26.79,20.00,29.86,23.06,28.64,16.25,31.46,8.75,32.75,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,0.00,NaN,-0.00,,
