SEND-SENDHOLME,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ017548,Long,-0.54315006,Lat,51.283271,Elevation,125,ft.,,,,,,,,,,,,,
Station no,RR8424,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,1.88,1.14,3.1,2.99,0.62,4.93,1,,,,,2.16,3.17,1.47,2.37,1.57,,,,,
February,3.13,0.88,1.91,0.86,3.2,4.85,3.92,,,,,0.51,2.13,3.88,0.34,4.05,,,,,
March,1.23,1.53,3.08,3.11,4.13,0.81,5.41,,,,,0.95,1.83,2.6,0.85,0.84,,,,,
April,1.63,1.57,0.02,2.3,1.03,1.25,1.28,,,,,0.74,2.92,2.57,2.95,2.44,,,,,
May,1.66,1.12,1.5,1.8,0.91,3.25,1.82,,,,,1.95,1.01,2.5,3.31,1.99,,,,,
June,2.6,1.93,3.17,0.61,0.71,1.04,2.01,,,,,0.33,1.14,0.85,3.26,0.03,,,,,
July,2.75,1.22,1.74,2.18,1.92,4.14,0.92,,,,,0.6,3.69,1.52,4.22,3.28,,,,,
August,2.63,0.98,5.77,1.56,1.28,1.76,3.52,,,,,0.59,2.04,1.46,2.91,3.09,,,,,
September,0.5,1.1,3.37,2.58,0.74,2.23,1.75,,,,,0.97,1.06,1.51,3.54,2.37,,,,,
October,2.79,3.33,2.98,4.12,1.65,2.72,4.23,,,,,0.72,1.08,6.27,3.12,2.67,,,,,
November,3.23,3.33,2.06,3.06,3.62,2.29,4.92,,,,,1.53,1.07,1.28,2.48,1.59,,,,,
December,4.11,6.11,3.04,1.32,8.14,5.44,2.81,,,,,1.36,3.92,2.18,3.42,2.88,,,,,
Total,28.14,24.24,31.74,26.49,27.95,34.71,33.59,,,,,12.41,25.06,28.09,32.77,26.8,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is Sendholme. Altitude from OS map,,,,,,,,,,,,,,,,,,,,,
