"GLENFARG, FORDEL",,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 13115 12140,Long,-3.405372,Lat,56.293713,Elevation,700,ft,,,,,,,,,,,,,
Station no,5539,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,4.02,1.69,4.91,3.51,5.16,0.77,,,,,
February,,,,,,,,,,,1.44,1.69,0.06,2.61,0.15,2.95,,,,,
March,,,,,,,,,,,2.5,0.89,1.98,1.99,4.5,1.21,,,,,
April,,,,,,,,,,1.1,2.13,2.95,3.51,1.51,5.82,4.12,,,,,
May,,,,,,,,,,3.26,1.49,4.1,3.69,1.89,2.15,0.68,,,,,
June,,,,,,,,,,1.81,2.63,5.02,1.53,1.59,2.82,3.42,,,,,
July,,,,,,,,,,3.7,3.38,4.89,3.8,3.9,3.35,1.44,,,,,
August,,,,,,,,,,5.03,5.47,4.57,0.65,1.42,4.42,2.85,,,,,
September,,,,,,,,,,0.65,8.4,1.05,2.09,2.04,3.99,5.65,,,,,
October,,,,,,,,,,3.91,4.81,1.84,7.67,3.7,4.66,6.55,,,,,
November,,,,,,,,,,5.79,3.59,6.99,2.48,2.74,1.06,4.77,,,,,
December,,,,,,,,,,4.53,3.87,1.77,8.67,1.46,5.2,2.26,,,,,
Total,,,,,,,,,,,43.73,37.45,41.04,28.36,43.28,36.67,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5539,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,
