PURLEY-SELCROFT-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ318613,Long,-0.10857,Lat,51.33552,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.11,2.98,1.93,2.11,1.24,5.51,5.51,2.85,,,,,,,2.34,2.42,2.18,3.62,1.17,1.01,3.32,2.5,1.26,1.3,3.2,4.1,1.56,2.24,,
February,,2.12,0.38,2.92,0.41,3.4,2.26,4.82,0.78,,,,,,,1.91,2.6,1.6,1.62,1.32,5.04,7.19,1.15,1.67,2.49,1.67,0.35,3.1,2.45,,
March,,0.36,1.74,3.45,2.52,0.26,1.31,3.92,0.4,,,,,,,1.27,1.37,5.45,0.91,0.86,1.32,3.48,2.7,0.43,2.12,1.37,0.53,0.87,1.44,,
April,,4.52,2.36,0.66,3.2,3.03,1.91,2.55,0.22,,,,,0.95,,1.37,2.51,1.86,1.7,1.55,3.12,2.83,1.17,2.63,0.33,0.23,1.31,0.14,1.31,,
May,,2.99,4.49,2.07,0.64,1.44,0.39,2.31,2.04,,,,,2.48,,2.89,3.14,1.38,1.66,1.67,1.2,2.33,1.25,1.83,3.08,4.19,0.29,1.36,2.29,,
June,,1.75,1,2.05,0.99,2.71,2.57,1.49,0.59,,,,,1.21,,2.02,2.64,2.78,2.82,1.01,1.42,0.9,1.58,2.07,4.48,2.28,2.93,0.95,4.38,,
July,,2.7,2.32,1.73,1.65,1.23,3.89,0.94,1.63,,,,,1.52,,3.79,2.43,1.16,1.21,0.88,2.63,2.95,0.81,3.68,2.56,0.76,5.53,3.16,2.36,,
August,,4.51,1.12,0.66,2.14,3.23,1.49,2.88,4.25,,,,,1.29,,2.03,4.16,0.16,4.32,1.68,1.53,3.64,2.6,1.52,3.82,1.62,3.1,2.84,3.01,,
September,,1.63,1.84,2.61,1.36,3.77,2.58,2.18,2.75,,,,,1.46,,1.45,2.98,1.21,1.85,0.41,2.89,3.26,3.13,3.48,1.93,2.16,2.65,2.57,5.09,,
October,,0.72,5.71,2.23,2.05,4.08,2.21,3.39,2.91,,,,,2.68,,3.11,1.34,0.27,1.88,6.62,0.37,1.08,3.38,4.17,1.9,3.68,,1.58,2.95,,
November,,3.39,1.11,1.26,2.91,5.4,4.55,1.9,3.72,,,,,1.41,,0.75,4.27,0.8,1.78,2.82,6.06,6.63,3.56,1.55,5.48,0.97,,2.89,1.51,,
December,2.4,0.69,0.6,0.46,7.27,4.29,3.25,4.54,3.55,,,,,2.08,,3.49,2.93,2.86,4.05,1.33,1.79,1.56,2.19,0.75,2,2.52,2.99,2.5,3.22,,
Total,,27.49,25.65,22.03,27.25,34.08,31.92,36.43,25.69,,,,,,,26.42,32.79,21.71,27.42,21.32,28.38,39.17,26.02,25.04,31.49,24.65,,23.52,32.25,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Nov 20th Gauge moved 0.25 mile N to 40 Selcroft Rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge read at 9am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Gauge moved to Yeovil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Station moved back from Yeovil (Higher Kingston) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Jan-May Monthly totals only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Gauge moved 40yds S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 Oct Nov Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 Terminated - moving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
