CLYTHNESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ND291363,Long,-3.211635,Lat,58.30953,Elevation,133,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.28,2.21,3.31,2.9,3.14,3.94,3.12,1.78,1.56,1.91,2.68,4.19,1.28,2.11,4.38,4.19,1.42,1.38,2.97,4.39,2.39,3.93,4.17,1.22,1.99,2.93,2.94,3.68,3.65,1.11,2.01,3.84,4.17,3.55,2.94,3.15,2.36,2.03,3.58,2.26,3.03,3.05,0.66,1.9
February,,,,,,,,0.61,1.9,1.02,2.76,0.9,1.43,1.86,1.67,2.75,1.78,1.5,2.39,1.22,1.36,2.23,0.76,3.41,1.9,2.15,1.27,4.7,2.35,1.4,0.96,2.99,2.81,4.37,2.48,1.51,3.81,0.61,2.13,1.9,2.25,3.34,2.73,1.96,1.49,2.53,0.46,1.06,1.82,0.55,0.85
March,,,,,,,,1.97,1.86,2.43,3.02,1.39,1.54,0.82,2.69,2.06,2.19,1.83,2.06,0,2.34,1.31,2.18,1.84,2.81,2.02,1.38,3.11,0.95,2.73,2.47,1.79,0.71,1.15,2.98,0.96,1.4,1.84,1.05,3.21,2.23,3.99,2.55,1.2,2.46,1.55,1.51,4.05,0.09,1.06,0.78
April,,,,,,,,2.9,0.74,2.77,2.56,1.22,3.84,2.43,1.67,1.7,2.75,4.45,1.92,1.59,2.68,1.75,3.74,1.33,5.02,3.33,1.52,0.62,1.32,1.45,3.14,1.38,1.04,2.43,2.01,2,1.6,2.32,1.72,1.66,3.03,3.24,0.79,2.34,1.13,1.23,2.19,1.49,1.71,2.11,1.53
May,,,,,,,,0.76,1.04,0.35,2.37,0.99,1.92,5.29,2.33,2.42,2.35,1.87,1.73,1.66,1.8,4.28,1.92,0.89,2,0.73,1.51,0.73,2.1,0.67,1.47,1.35,2.32,2.56,3.04,2.39,1.76,1.41,2.2,2.27,0.83,0.65,1.62,2.44,3.07,2.6,1.78,1.38,3.03,1.27,0.61
June,,,,,,,,3.27,1.03,3.09,0.48,1.27,1.52,1.63,1.26,0.7,2.02,3.06,2.81,3.75,2.08,2.46,0.33,1.4,1.1,1.02,1.44,2.66,3.01,1.6,0.92,0.98,1.24,1.8,2.68,2.19,2.4,2.13,3,1.27,2.41,1.02,2.22,1.75,2.65,0.59,3.11,3.27,0.99,1.12,2.26
July,,,,,,,,1.49,5.83,0.8,2.02,2.1,3.12,2,4.74,2.86,1.6,1.02,2.17,1.58,1.46,2.91,2.86,1.92,2.47,2.17,5.63,1.99,4.51,4.46,5.36,1.91,4.95,3.66,2.15,2.74,3.48,0.73,1.95,1.33,3.18,3.12,1.74,3.25,1.8,0.32,5.09,4.75,2.22,2.12,2.02
August,,,,,,,,2.61,2.86,3.77,0.63,1.9,1.82,2.86,3.86,1.26,1.54,3.01,1.92,4.61,4.36,0.91,2.14,1.93,4.14,3.59,2.6,3.76,2.33,1.51,2.83,4.55,1.86,3.5,1.52,3.12,1.03,0.02,2.72,4.83,2.26,3.1,3.58,2.82,2.1,0.72,4.2,5.78,2.47,1.31,3.72
September,,,,,,,,1.86,5.41,4.05,2.46,2.13,2.52,3.73,4.43,3.1,1.99,3.92,2.17,4.14,4.36,0.82,2.45,1.12,2.58,4.55,2.26,1.6,3.02,1.93,2.5,1.23,2.8,2.9,2.76,2.57,2.17,3.53,2.9,2.75,4.91,1.45,2.45,1.96,2.36,3.81,2.01,3.06,1.07,0.91,1.69
October,,,,,,,,5.19,1.78,3.32,0.98,1.5,1.55,3.87,2.82,3.52,5.66,4.83,2.71,3.4,3.48,2.54,5.21,4.15,4.51,4.03,3.46,1.71,3.18,1.73,1.76,3.82,4.05,1.1,3.42,4.79,0.37,1.45,3.82,1.93,1.38,2.05,3.18,1.03,4.73,4.25,3.42,1.52,2.92,3.95,3.19
November,,,,,,,,4.41,2.21,5.37,2.75,2.01,3.07,5.14,1.5,1.91,2.4,2.24,4.8,2.99,4.96,2.19,2.74,2.1,2.25,3.79,1.38,2.14,2.42,3.07,5.19,3.83,1.44,4.84,3.79,0.95,3.42,5.77,2.3,2.03,3.08,5.84,3.8,2.23,4.68,2.64,3.49,2.54,1.63,4.86,1.74
