BOSTON - AMBER HILL,,,,,,,,,
Grid ref,TF232471,Long,-0.165,Lat,53.007,Elevation,18,ft,
Station no,2539/7,,,,,,,,
,,,,,,,,,
,1946,1947,1948,1949,1950,1951,1952,1953,1954
January,,1.64,3.53,1.27,1.00,3.21,1.63,0.92,1.04
February,,1.02,1.07,0.82,3.01,3.20,0.32,1.74,2.24
March,,4.20,0.45,0.89,0.66,2.97,2.94,0.88,1.78
April,,1.76,1.04,1.83,1.83,2.12,1.13,2.43,0.32
May,,0.34,2.14,2.23,2.56,3.00,1.88,2.68,
June,,2.67,3.48,0.85,1.65,1.54,2.32,2.53,
July,,1.19,1.51,1.95,3.02,0.70,0.43,1.21,1.73
August,,0.07,3.09,2.55,1.70,3.62,1.86,3.05,3.63
September,,1.86,2.09,0.94,2.53,1.29,2.25,0.75,2.01
October,,0.18,1.43,3.55,0.80,1.18,2.36,1.99,2.48
November,,0.90,0.77,2.80,3.77,3.49,2.43,1.71,4.05
December,2.45,1.82,3.68,1.48,1.12,1.06,1.68,0.69,1.90
Total,,17.65,24.28,21.16,23.65,27.38,21.23,20.58,
,,,,,,,,,
TYRain_1941-1950_17_pt1/193,,,,,,,,,
TYRain_1951-1960_15_pt1/195,,,,,,,,,
,,,,,,,,,
# Readings for May and June 1954 are estimates and have been omitted.,,,,,,,,,
#,,,,,,,,,
"# The grid reference given is for Old Amber Hill, as this matches the church direction better.",,,,,,,,,
"# A possible alternative is Amber Hill, about 750m to the south.",,,,,,,,,
