"CRUMMOCK LAKE, BUTTERMERE",,,,,,,,,,,,,,,,,,,,
Grid ref,NY167170,Long,-3.2890686,Lat,54.541382,Elevation,320,ft,,,,,,,,,,,,
Station no,RR6086,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,9.53,8.98,3.75,7.3,12.17,4.49,21.69,19.76,15.84,,,,,,
February,,,,,,1.7,6.57,3.2,14.48,3.38,10.87,6.95,9.08,2.39,,,,,,
March,,,,,,7.06,11.94,2.19,6.77,2.48,3.31,5.26,0.6,2.52,,,,,,
April,,,,,,7.31,5.52,4.05,2.83,2.91,8.01,4.02,0.63,6.97,,,,,,
May,,,,,,3.62,3.62,4.91,1.52,4.21,4.27,2.74,7.24,0.83,,,,,,
June,,,,,,5.97,5.7,5.48,7.17,2.13,5.4,6.09,7.54,2.8,,,,,,
July,,,,,4.59,6.39,15.21,1.65,10.41,9.53,8.26,7.71,5.26,9.93,,,,,,
August,,,,,7.55,11.17,6.92,7.57,9.73,5.38,10.73,7.19,8.81,6.05,,,,,,
September,,,,,6.33,6.54,3.19,6.99,4.63,3.3,4.01,3.92,3.72,5.8,,,,,,
October,,,,,8.22,8.2,16.22,11.96,11.11,11.64,7.58,10.97,6.15,9.43,,,,,,
November,,,,,3.69,8.5,8.7,17.71,7.62,8.84,12.72,3.04,11.34,8.48,,,,,,
December,,,,,0.33,11.49,3.9,12.86,14.5,4.24,6.01,4.5,23.27,1.05,,,,,,
Total,,,,,,87.48,96.47,82.32,98.07,70.21,85.66,84.08,103.4,72.09,,,,,,
,,,,,,,,,,,,,,,,,,,,
1844 total given as 61.46 but no indication whether for whole year (assumed),,,,,,,,,,,,,,,,,,,,
"Site ""X"" on Miller's map",,,,,,,,,,,,,,,,,,,,
Record has 260ft elevation but this would be well under the water,,,,,,,,,,,,,,,,,,,,
