HEADCORN-SEWAGE-WORKS,,,,,,,,,,
Grid ref,TQ830442,Long,0.616154,Lat,51.167765,Elevation,66,ft,,
Station no,344/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.45
February,,,,,,,,,0.08,1.89
March,,,,,,,,,2,1.45
April,,,,,,,,,2.15,0.77
May,,,,,,,,,0.61,2.44
June,,,,,,,,,1.03,1.08
July,,,,,,,,,2.32,2.99
August,,,,,,,,,0.78,4.4
September,,,,,,,,,0.15,3
October,,,,,,,,,2.78,6.53
November,,,,,,,,,3.99,5.48
December,,,,,,,,,5.82,3.4
Total,,,,,,,,,,35.88
