IPSWICH-BELSTEAD-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM127412,Long,1.099126,Lat,52.028408,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1340/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959
January,,,,,,,,5.42,1.64,,,1.2,1.01,1.72,1.69,1.62,2.42,1.2,1.14,0.75,,,,,,2.06,1.64,2.15,0.81,2.04,2.91,0.51,0.75,,,,,1.11,0.97,0.75,1.77,1.35,2.49,3.62,1.49,2.6,,,,,,,,,,,,,,,,,,,,,,,,5.71,1.47,1.8,2.63,4,1.47,1.77,1.78,1.79,3.78,1.18,1.17,1.76,2.48,0.86,1.33,1.9,3.42,1.22,2.51,1.94
February,,,,,,,,3.16,1.2,,,2.34,1.08,2.48,0.8,2.48,0.22,0.51,1.43,1.37,,,,,,0.33,0.57,2.05,0.74,1.42,2.39,0.85,0.79,,,,,0.98,1.99,0.99,2.34,1.16,1.23,0.59,1.87,3.4,,,,,,,,,,,,,,,,,,,,,,,,0.77,1.25,1.9,0.78,0.72,1.26,1.43,1.41,1.49,1.28,1.17,2.58,3.39,0.78,1,2.14,2.1,0.69,2.63,2.59,0.17
March,,,,,,,,3.64,0.77,,,1.46,1.35,0.88,1.22,1.18,1.03,1.24,2.67,1.12,,,,,,1.39,3.03,2.7,1.76,0.99,1.04,2.15,,,,,,1.06,1.99,2.7,1.23,2.05,3.45,1.81,4.5,,,,,,,,,,,,,,,,,,,,,,,,,1.72,2.63,2.99,2.37,0.42,0.23,0.91,1.28,3.97,0.94,0.69,0.56,3.01,2.98,0.27,2.46,1.21,0.8,1.31,0.96,1.44
April,,,,,,,1.5,2.94,1.63,,,1.15,2.83,0.85,0.91,1.28,1.38,1.26,1.4,1.52,,,,,,0.64,0.72,1.76,1.36,1.96,0.97,1.68,,,,,,3.22,2.6,1.95,2.42,1.2,0.27,2.42,0.89,1.19,,,,,,,,,,,,,,,,,,,,,,,,2.02,1.34,1.27,0.57,0.85,1.43,1.04,1.05,1.41,1.21,1.13,1.33,2.71,1.07,1.8,0.32,0.17,0.73,0.3,0.89,1.64
May,,,,,,,0.92,2.48,5.41,,,0.76,1.98,1.7,0.46,2.5,2.26,1.64,1.06,3.49,,,,,,0.41,0.32,1.21,2.49,1.82,0.91,0.55,,,,,,1.54,1.44,1.11,3.3,0.91,0.76,1.8,1.21,2.26,,,,,,,,,,,,,,,,,,,,,,,,1.07,0.41,1.34,1.8,1.26,0.37,1.89,1.59,0.4,1.19,2.29,1.35,2,0.98,1.93,1.54,2.6,0.74,1.7,2.35,0.27
June,,,,,,,2.01,0.68,0.69,,,2.06,2.19,2.83,0.79,0.95,0.52,0.52,1.51,2.41,,,,,,0.45,2.03,2.27,3.39,1.38,2.77,1.62,,,,,,2,0.54,4.48,2.23,2.18,2.8,1.65,0.76,,,,,,,,,,,,,,,,,,,,,,,,,1.54,0.3,0.73,1.11,1.67,1.59,1.82,3.86,2.06,2.47,0.5,1.3,1.13,1.73,2.82,2.7,3.14,1.53,2.1,4.78,1.19
July,,,,,,,1.06,4.06,0.12,,,1.51,2.91,2.76,1.97,1.22,2.86,1.73,3.92,2.75,,,,,,3.84,0.58,1.94,1.87,2.03,1.03,1.97,,,,,,2.24,4.41,3.56,2.71,1.04,2.74,2.79,1.39,3.64,,,,,,,,,,,,,,,,,,,,,,,,1.61,3.07,1.67,2.2,0.72,1.85,1.38,3.61,1.19,1.24,0.5,3.3,2.43,0.71,2.47,2.75,0.16,2.42,2.78,2.52,2.04
August,,,,,,,1.48,3,3.02,,,3.75,2.14,0.46,0.91,0.87,1.16,1.17,2.04,2.88,,,,,,2.3,2.86,2.21,1.14,0.37,3.18,1.24,,,,,,2.23,2.11,1.97,3.6,0.81,6.36,0.83,1.31,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.08,4.74,1.25,0.97,2.23,2.08,3.74,0.16,2.65,1.24,1.81,3.4,2.98,1.39,3.21,3.26,3.98,2.59,3.54,0.84
September,,,,,,,3.5,0.99,1.18,,,2.11,2.67,2.8,3.5,5.12,0.93,1.93,1.39,1.6,,,,,,0.89,5.3,2.92,0.28,3.17,0.62,0.96,,,,,,0.84,1.28,2.05,0.95,1.87,2.58,1.22,1.17,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.9,0.21,1.77,2.44,3.31,1.71,1.83,1.11,1.46,1.95,3.42,2.45,2.71,1.48,1.12,1.77,2.03,2.75,2.84,0.02
October,,,,,,,1.17,1.58,1.77,,,2.92,4.53,1.96,1.84,3.85,4.14,2.29,0.9,4.1,,,,,,2.41,2.36,0.4,2.12,1.79,1.87,2.29,,,,,3.48,3.18,2.06,4.09,1.45,2.61,1.75,3.52,1.91,,,,,,,,,,,,,,,,,,,,,,,,,7.75,2.43,1.9,4.15,1.22,4.5,1.44,1.32,0.24,1.9,4.31,0.42,0.52,1.73,2.04,1.78,3.94,1.44,1.67,2.54,1.68
