BURTON-ON-STATHER VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE871179,Long,-0.684,Lat,53.650,Elevation,212,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,1.43,2.21,1.41,1.30,1.58,1.63,4.62,0.76,2.04,0.52,1.64,3.24,0.85,0.87,1.52,1.89,0.56,2.89,1.01,0.94,0.81,1.64,1.24,2.84,3.16,1.21,2.63,0.47,2.90,1.28,3.39
February,1.83,1.25,0.09,1.96,2.57,3.40,0.38,0.66,2.56,0.95,1.36,3.49,1.64,1.37,1.31,2.78,0.85,2.35,1.65,1.85,0.80,1.67,0.98,1.37,0.50,0.54,2.50,2.99,0.73,1.66,1.94
March,2.85,1.59,1.30,0.75,0.28,0.91,2.47,2.19,2.91,1.31,1.13,0.50,1.47,1.48,2.81,1.93,2.90,1.54,1.33,2.90,2.98,0.74,1.20,2.48,2.01,1.68,1.11,3.41,1.78,0.96,2.81
April,2.09,0.78,1.23,2.18,0.35,1.52,1.45,0.96,1.92,2.76,2.05,1.01,1.27,1.70,1.46,1.29,1.65,0.54,2.35,2.25,2.60,2.63,1.35,0.08,2.30,0.50,0.61,1.33,1.47,1.46,1.58
May,3.82,2.75,3.18,3.44,1.44,1.76,1.35,0.76,1.46,1.61,3.18,1.64,1.08,2.77,3.03,1.86,1.00,1.46,3.63,1.85,1.21,2.47,0.61,2.79,2.72,1.54,0.96,2.51,1.60,2.53,1.25
June,0.37,2.42,1.32,3.18,1.52,3.04,2.33,3.47,1.92,1.05,2.17,2.02,1.81,2.52,1.87,0.61,1.44,1.53,3.31,1.13,2.84,2.06,4.36,4.73,1.01,1.82,0.58,1.50,1.10,0.61,1.19
July,1.00,2.08,3.83,1.42,2.14,2.99,5.56,1.77,0.29,0.44,1.90,2.07,1.48,2.28,2.80,2.13,2.32,0.70,1.72,2.90,3.89,3.80,0.39,4.90,0.18,3.09,4.88,2.11,0.79,4.17,2.43
August,3.13,2.80,3.49,1.94,2.37,2.97,1.86,1.80,3.36,3.83,0.92,4.75,2.73,1.80,2.72,4.03,3.93,1.26,2.08,1.99,4.20,3.30,1.84,5.10,0.82,2.30,2.83,4.39,7.24,3.35,2.09
September,1.71,1.46,1.82,1.27,1.42,0.77,1.07,4.33,3.08,0.78,2.06,0.55,1.30,0.67,3.69,1.85,1.66,1.25,0.78,1.26,1.50,0.12,2.78,1.69,2.71,0.84,0.98,1.09,0.65,4.04,1.37
October,3.86,1.26,3.97,4.81,1.84,4.24,3.14,5.40,1.00,3.15,2.88,2.81,1.77,2.84,6.53,0.82,1.75,5.98,4.69,0.76,2.52,3.72,1.70,2.66,1.79,2.16,1.18,2.09,2.84,1.43,3.12
November,0.47,3.81,3.16,1.75,2.69,1.66,2.37,1.47,2.24,2.64,1.06,2.73,2.88,1.40,1.56,1.17,3.00,2.74,2.15,1.24,0.32,2.91,2.49,2.91,1.97,2.19,2.28,2.29,1.83,1.78,2.11
December,1.42,0.74,3.13,0.88,2.46,1.99,2.36,3.23,1.24,1.95,2.92,3.02,4.89,1.74,0.73,1.49,0.57,2.30,2.88,1.41,4.49,2.40,3.50,1.15,1.20,4.73,5.02,2.39,1.46,3.16,3.05
Total,23.98,23.15,27.93,24.88,20.66,26.88,28.96,26.80,24.02,20.99,23.27,27.83,23.17,21.44,30.03,21.85,21.63,24.54,27.58,20.48,28.16,27.46,22.44,32.70,20.37,22.60,25.56,26.57,24.39,26.43,26.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The 1917 total has been reduced by 0.01 compared to the sheet figure to match the sum of the months.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
