LEICESTER SQUARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK588043,Long,-1.132627,Lat,52.633276,Elevation,211,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,2.19,3.85,1.19,2.71,1.18,0.99,1.15,1.73,0.88,3.66,3.06,2.58,4.23,2.2,2.52,3.01,3.43,2.32,1.89,1.74,1.35,3.36,1.18,0.61,2.41,1.9,0.8,1.14,1.84,3.45,1.02,2.33,2.75,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,1.86,1.69,0.41,0.52,2.32,0.19,2.67,0.53,2.1,2.31,2.87,0.65,0.91,3.04,2.21,0.8,0.98,1.33,1.69,2.85,1.39,1.6,0.66,3.24,2.73,0.65,1.38,2.13,1.8,0.53,3.7,3.29,0.02,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,1.85,1.23,0.06,1.33,0.07,1.45,1.9,1.73,0.9,1.22,2.85,0.23,1.24,2,2.93,1.42,0.97,0.27,0.59,0.79,4.87,0.84,1.54,0.79,3.41,2.39,1.74,1.87,2.7,1.14,2.17,1.63,1.72,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,1.6,0.73,1.25,2.4,2.85,2.35,1.12,3.12,3.43,2.1,2.62,0.06,1.75,1.83,1.53,1.09,0.69,1.98,1.11,1.52,1.99,1.42,2.51,1.65,2.35,1.89,2.08,0.45,1.06,0.92,0.16,0.5,1.99,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,1.48,0.93,2.33,2.42,2.68,5.03,1.85,0.95,0.97,0.67,2.87,1.58,1.03,0.94,2.9,2.97,2.57,0.62,2.57,2.25,1.64,2.13,2.65,2.37,3.04,2.91,1.52,2.23,3.72,0.84,1.28,1.61,0.46,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,4.39,3.01,1.5,2.12,2,1.02,1.85,0.59,4.51,3.96,0.97,1.19,1.19,1,1.28,0.51,3,1.57,2.21,2.75,1.01,1.67,0.45,2.11,1.33,2.07,2.48,2.61,3.03,2.53,1.58,4,0.98,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,2.59,1.31,1.8,3.86,2.66,2.8,1.79,0.73,0.41,3.79,4.01,2.4,3.6,3.35,4.4,1.91,0.88,2.14,2.73,1.46,3.6,1.01,2.23,1.83,0.96,0.39,2.16,2.02,1,4.47,3.55,3.02,2.15,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,4,2.23,2.31,2.27,4.05,2.01,0.57,1.63,2.77,1.1,0.84,3.39,4.63,0.23,3.54,3.21,1.43,2.02,2.04,5.58,0.19,4.19,1.57,2.17,3.9,2.96,2.32,3.77,0.59,3.89,2.59,1.62,0.86,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,4,0.79,0.64,3.44,2.33,2.34,1.45,1.35,3.68,2.17,0.99,2.08,0.59,0.67,0.34,0.69,1.67,3.56,1.01,4.34,0.81,3.06,1.8,3.14,1.17,1.27,1.11,1.81,1.19,1.43,3.88,2.2,0.12,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,2.17,1.56,3.07,2.83,1.83,0.5,3.17,2.77,1.34,2.83,1.44,3.08,1.75,3.77,3.35,2.08,3.14,1.83,2.39,3.06,1.29,0.19,2.66,4.54,0.76,0.59,2.55,2.62,2.86,1.46,1.41,0.99,1.96,1.93,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
