LEICESTER SQUARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK588043,Long,-1.132627,Lat,52.633276,Elevation,211,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,2.09,2.95,2.73,0.92,1.28,2.08,1.74,0.44,1.04,0.99,3.21,0.99,1.86,1.14,,3.02,0.91,0.65,1.6,2.14,0.7,3.12,0.87,0.81,0.78,1.6,0.65,3.33,3.59,1.08,1.96,1.08,1.92,2.32,3.85,2.17,2.34,3.11,1.14,2.02,1.28,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,3.13,0.31,0.45,1.24,1.66,0.68,0.14,1.62,2.09,1.52,0.16,0.5,2.64,0.82,,4.31,1.05,1.27,0.64,2.06,0.51,2.15,0.9,0.93,0.49,1.86,1.46,1.14,0.71,1.18,2.76,4.16,0.75,1.44,2.3,1.11,0.21,2.21,3.21,0.57,2.29,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.06,2.25,1.52,1.87,3.56,1.84,1.14,0.88,0.18,0.64,1.31,1.92,2,0.89,,0.62,1.59,1.03,2.53,1.32,2.04,1.36,1.09,2.23,2.32,0.53,1.4,2.72,3.42,2.37,1.01,4.34,1.16,0.97,3.18,2.36,0.89,1.82,1.4,0.67,0.83,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,2.59,2.42,1.03,3.61,2.51,0.76,1.5,0.8,0.32,1.23,1.43,0.76,1.58,1.95,,0.79,1.18,1.85,1.44,0.84,1.19,0.64,1.49,2.5,1.12,1.56,0.99,0.14,2.27,1.3,0.8,0.96,1.78,1.97,1.66,4.6,0.92,2.65,1.59,1.94,1.35,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,2.62,5.35,2.39,0.96,3.35,1.84,2.32,1.54,1.9,1.35,0.9,0.57,1.11,2.66,,1.49,0.85,2.3,2.13,1.74,0.21,1.51,2.83,1.66,1.26,2.36,1.18,2.59,1.73,1.83,1.91,1.84,2,1.6,1,1.97,1.7,0.61,1.3,3.71,3.14,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,2.9,1.58,1.53,2.24,1.17,2.04,2.8,2.79,0.69,1.58,0.52,2.02,2,0.72,,2.67,1.97,1.78,1.58,0.16,2.43,3.18,1.85,1.34,2.72,0.74,1.4,3.75,1.27,1.93,2.26,1.34,2.54,0.73,0.81,1.31,0.74,0.52,0.4,2.13,0.03,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,0.16,4.06,0.84,4.69,1.26,2.3,2.65,2,2.07,1.96,3.13,2.38,0.56,0.68,,2.67,3.4,0.94,2.07,3.01,1.3,0.63,2.45,3.1,2.81,2.04,0.12,4.52,1.15,2.41,7.7,1.2,1.44,2.73,3.82,3.25,0.19,4.29,3.57,2.44,1.96,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,3.32,2.13,1.62,2.47,2.19,2.32,2.78,1.41,1.28,2.28,1.56,2.39,3.18,3.96,,3.43,1.34,3.78,3.58,3.53,2.93,1.04,2.12,2.87,2.55,2.97,1.87,5.49,0.98,1.79,1.87,2.62,4.78,2.01,2.23,0.71,3.98,4.66,2.1,2.53,1.22,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,3.67,1.73,2.76,1.46,2,1.18,1.02,2.32,1.55,0.98,0.4,3.41,2,0.49,,0.36,1.32,1.01,2.08,1.42,2.12,0.94,0.69,1.34,2.21,0.86,1.33,0.75,1.85,0.54,1.22,1.66,1.68,3.7,1.73,1.64,0.77,2.1,2.33,2.39,2.19,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,6.07,5.02,2.09,0.38,2.51,1.43,4.48,3.1,2,2.26,2.77,2.8,1.13,2.65,,2.07,1.22,1.66,5.17,0.45,1.16,3.56,4.35,0.91,2.75,2.13,1.68,2.06,2.9,2.03,1.05,1.9,3.19,1.47,1.6,1.33,2.63,0.61,2.69,4.11,2.57,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
