LEICESTER SQUARE,,,,,,,,,,,
Grid ref,SK588043,Long,-1.132627,Lat,52.633276,Elevation,212,ft,,,
Station no,,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,2.16,3.84,1.2,
February,,,,,,,,1.85,1.69,0.41,
March,,,,,,,,1.81,1.22,0.05,
April,,,,,,,,1.59,0.73,1.24,
May,,,,,,,,1.46,0.93,2.34,
June,,,,,,,,4.35,3.01,1.5,
July,,,,,,,,2.56,1.31,1.8,
August,,,,,,,,4.01,2.24,2.3,
September,,,,,,,,3.97,0.79,0.64,
October,,,,,,,2.16,1.55,3.01,2.83,
November,,,,,,,3.05,2.65,2.95,5.51,
December,,,,,,,0.75,2.43,1.62,3.53,
Total,,,,,,,,30.39,23.34,23.35,
