BAKEWELL-CATCLIFF,,,,,,,,,,,,,,,,,,,,
Grid ref,SK217684,Long,-1.676523,Lat,53.212223,Elevation,411,ft.,,,,,,,,,,,,
Station no,RR4223,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,0.91,2.19,2.12,3.64,1.33,5.38,4.57,2.39,5.52,2.14,3.3,3.63,
February,,,,,,,,3.03,3.47,0.99,4.31,3.38,1.87,2.25,2.42,5.43,6.95,0.34,3.66,
March,,,,,,,,4.13,3.82,3.76,0.96,1.35,4.45,5.13,3.92,0.96,4.37,2.51,1.61,
April,,,,,,,,2.84,2.86,1.86,3.75,1.97,0.64,3.94,1.29,1.3,2.64,1.65,1.73,
May,,,,,,,,5.22,3.33,2.21,2.5,1.75,3.06,1.82,1.64,1.73,2.33,1.49,2.31,
June,,,,,,,,6.09,1.86,2.52,2.74,2.1,3.79,1.54,3.03,2.11,2.61,3.19,1.1,
July,,,,,,,,2.27,3.01,3.28,3.71,0.07,5.85,1.02,4.69,5.24,1.41,1.25,3.78,
August,,,,,,,,3.47,3.47,2.01,5.19,1.82,5.75,1.79,1.8,2.99,1.26,6.17,2.49,
September,,,,,,,,0.63,2.21,2.32,0.33,2.42,1.22,2.11,2.3,0.7,1.47,1.32,8.24,
October,,,,,,,,6.47,1.19,5.13,2.92,2.85,3.78,3.67,3.17,1.34,5.6,5.41,2.53,
November,,,,,,,,3.2,2.38,0.91,5.78,4.52,2.55,3.52,5.65,3.13,4.59,3.05,1.99,
December,,,,,,,,3.42,2.69,9.03,6.1,7.71,4.5,1.98,7.94,8.56,3.33,2.29,6.22,
Total,,,,,,,,41.68,32.48,36.14,41.93,31.27,42.84,33.34,40.24,39.01,38.7,31.97,39.29,
,,,,,,,,,,,,,,,,,,,,
NGR is Catclffe House. Altitudes match but the house is 100yds closer to the church than noted on the record. Catcliff Cottages are south of Bakewell but too far from church and altitudes do not match. Cannot link the observer Dr T Fentem to either location,,,,,,,,,,,,,,,,,,,,
