CORFE-CASTLE-ENCOMBE,,,,,,,,,,,,,,,,,,,,
Grid ref,SY944779,Long,-2.08048,Lat,50.60086,Elevation,160,ft,,,,,,,,,,,,
Station no,1551/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,-999,3.31,1.89,,,4.5,1.15,2.8,4.95,1.87,3.6,4.06,3.96,,
February,,,,,,-999,-999,-999,,,-999,2.84,1.08,1.27,2.15,4.68,4.3,1.68,,
March,,,,,,2.51,-999,-999,,,-999,4.11,6.1,1.88,3.15,1.25,1.84,4.38,,
April,,,,,,0.34,-999,-999,,,2,0.45,2.45,0.94,1.16,1.64,1.34,2.2,,
May,,,,,,2.32,3.53,1.3,,,4.2,1.57,3.86,3.22,1.45,2.39,1.3,2.08,,
June,,,,,,1.05,-999,1.78,,,6.48,3.82,1.65,5.2,1.46,2.12,1.4,1.35,,
July,,,,,,1.26,-999,1.25,,,1.82,4.6,2.16,1,0.53,1.64,1.35,3.2,,
August,,,,,,1.56,-999,0.62,,,4.95,1.05,2.1,4.7,0.86,3.1,2.05,2.05,,
September,,,,,,-999,-999,2.54,,,4.43,2.46,1.85,3.85,2.26,0,8.9,1.72,,
October,,,,,,-999,3.54,6.12,,,2.6,2.45,5.98,7.53,0.76,9.5,2.6,3.46,,
November,,,,,,0.9,-999,2.34,,,2.45,6.49,1.51,3.56,3.44,3.98,2.15,0.94,,
December,,,,,,1.32,-999,0.66,,,4.97,1.5,3.25,3.1,2.07,3.5,3.1,1.03,,
Total,,,,,,20.33,31.04,23.46,21.13,30.66,42.65,32.49,34.79,41.2,21.16,37.4,34.39,28.05,,
,,,,,,,,,,,,,,,,,,,,
Elevation suggests this was at Encombe Farm 0.25 miles S of Encombe House,,,,,,,,,,,,,,,,,,,,
First listed observer was uncle and guardian of Lord Eldon (second named) who was 8 when gauge started,,,,,,,,,,,,,,,,,,,,
Unlikely either was there full time so either gardener or farmer likely to have been roped in to read gauge,,,,,,,,,,,,,,,,,,,,
1855 Jan Feb Bracketed Total 4.63,,,,,,,,,,,,,,,,,,,,
1855 Sep Oct Bracketed Total 4.44,,,,,,,,,,,,,,,,,,,,
1856 Feb-Apr Bracketed Total 7.12,,,,,,,,,,,,,,,,,,,,
1856 June July Bracketed Total 1.47,,,,,,,,,,,,,,,,,,,,
1856 Aug Sept Bracketed Total 7.27,,,,,,,,,,,,,,,,,,,,
1856 Nov Dec Bracketed Total 4.80,,,,,,,,,,,,,,,,,,,,
1857 Feb-Apr Bracketed Total 4.96,,,,,,,,,,,,,,,,,,,,
1858 1859 Totals only,,,,,,,,,,,,,,,,,,,,
1860 Feb Mar Bracketed Total 4.25,,,,,,,,,,,,,,,,,,,,
