CORFE-CASTLE-ENCOMBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY945785,Long,-2.07908,Lat,50.6062,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1551/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,5.34,3.84,5.82,3.91,4.6,4.21,,2.28,2.14,4.03,3.55,6.18,0.78,0.91,3.61,2.13,,,,,,,,
February,,,,,,,5.76,0.75,1.85,4.53,4.01,0.14,,0.47,2.13,3.3,2.37,1.57,1.15,5.37,6.45,1.02,,,,,,,,
March,,,,,,,4.03,0.49,1.21,3.48,4.2,2.98,,0.43,1.13,1.45,7.5,1.03,1.61,1.42,4.89,3.16,,,,,,,,
April,,,,,,,2.63,0.02,2.36,1.64,1.55,1.63,,1.9,0.64,2.21,2.11,1.79,1.84,2.73,2.47,1.88,,,,,,,,
May,,,,,,,4.05,1.58,1.06,1.56,2.95,3.95,,0.41,1.83,3.48,1.71,1.76,2.33,1.85,3.49,2.5,,,,,,,,
June,,,,,,,0.43,0.54,2.17,0.16,1.65,0.08,,1.96,2.7,3.05,1.93,2.57,0.73,1.22,0.71,1.5,,,,,,,,
July,,,,,,,2.55,1.75,4.66,3.13,1.48,1.88,,3.38,0.73,1.56,0.83,1.41,0.49,5.59,1.31,0.79,,,,,,,,
August,,,,,,,2.11,2.38,2.56,0.01,4.58,3.42,,3.76,1.93,3.39,1.4,3.72,0.92,2.41,5.26,2.54,,,,,,,,
September,,,,,,,3.89,2.25,1.99,1.93,0.96,2.97,,1.56,2.62,3.85,1.48,2.86,6.59,4.15,3.78,6.66,,,,,,,,
October,,,,,,,5.91,4.7,6.77,4.71,0.89,4.18,,4.08,2.96,1.26,1.53,2.37,6.9,1.35,1.3,5.33,,,,,,,,
November,,,,,,,2.33,6.01,6.38,8.12,1.67,1.51,,6.04,0.51,5.15,2.13,2.11,3.99,5.38,8.31,4.81,,,,,,,,
December,,,,,,,4.99,3.91,2.08,2.77,1.81,4.53,,2.86,4.51,3.39,3.32,4.35,1.9,2.08,3.24,3.35,,,,,,,,
Total,,,,,,,44.02,28.22,38.91,35.95,30.35,31.48,,29.13,23.83,36.12,29.86,31.72,29.23,34.46,44.82,35.67,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encombe House going by NGR on sheet and elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Not printed Too much estimation - deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953 Station terminated House sold and no one to carry on taking records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
