SWANSEA-WW-NANTYRWYDD-NO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN859182,Long,-3.6579462,Lat,51.850695,Elevation,916,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,4142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,9.25,5.01,,,7.91,11.07,9.32,8.43,9.27,2.92,7.41,9.28,13.71,14.36,7.95,6.79,,,,,,,
February,,,,,,,,,6.82,1.81,,,5.4,4.91,12.49,11.73,9.74,2.12,6.22,4.62,4.75,0.23,12.31,15.47,,,,,,,
March,,,,,,,,,7.83,7.72,,,15.37,12.89,12.15,3.53,3.23,4.49,4.2,8.68,9.76,10.13,7.33,2.96,,,,,,,
April,,,,,,,,,4.42,4.95,,,0.84,12.18,2.85,4.54,5.96,4.01,2.3,4.85,12.58,2.04,5.02,5.62,,,,,,,
May,,,,,,,,,6.32,2.74,,,1.85,5.91,6.12,3.56,4.27,5.21,2.89,2.22,6.09,3,2.57,5.74,,,,,,,
June,,,,,,,,,2.63,5.47,,,9.47,4.27,2.98,2.24,4.75,4.65,2.52,4.29,5.46,0.29,2.65,1.75,,,,,,,
July,,,,,,,,,9.27,7.59,,,7.22,1.89,7.81,9.25,4.39,5.59,8.94,1.36,9.84,5.63,9.57,5.58,,,,,,,
August,,,,,,,,,10.04,3.73,,,14.96,3.09,7.57,3.53,7.11,17.87,3.55,5.13,4.58,8.64,6.07,9.58,,,,,,,
September,,,,,,,,,6.16,5.65,,,2.06,4.46,3.47,1.49,5.08,4.76,12.44,4.78,6.8,4.44,5.57,7.91,,,,,,,
October,,,,,,,,,3.99,17.66,,,8.95,7.29,4.01,4.43,16.9,11.28,6.5,3.09,6.58,3.53,2.9,12.72,,,,,,,
November,,,,,,,,,7.5,4.76,,,7.96,14.32,10.61,5.09,7.98,5.98,5.81,5.32,3.73,5.69,3.67,7.74,,,,,,,
December,,,,,,,,,9.66,15.81,,,13.98,5.44,14.77,16.1,5.45,2.68,12.97,15.48,11.14,8.05,11.63,8.51,,,,,,,
Total,,,,,,,,,83.89,82.9,,,95.97,87.72,94.15,73.92,84.13,71.56,75.75,69.1,95.02,66.03,77.24,90.37,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is 80 yards N of New Gauge, as noted on record (NE in reality to match altitude)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
