BISHOPS-TAWTON-CODDEN-HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS586291,Long,-4.01785,Lat,51.04392,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1837/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,,,,,,3.31,3.08,6.9,1.52,1.27,4.7,4.19,1.01,2.3,3.57,,,,,
February,,,,,,,,,,,,,,,,2.95,0.31,1.41,1.53,6.13,4.2,1.38,1.74,4.12,2.72,,,,,
March,,,,,,,,,,,,,,,,0.79,5.6,1.27,1.82,1.35,4.14,3.01,1.12,3.03,1.15,,,,,
April,,,,,,,,,,,,,,,,1.9,2.51,2.11,2.15,3.05,3.19,3.62,2.35,0.7,1.93,,,,,
May,,,,,,,,,,,,,,,,3.72,1.88,2.39,2.57,1.67,2.34,3.06,2.71,2.55,3.62,,,,,
June,,,,,,,,,,,,,,,,4.1,2.85,2.54,0.69,2.29,1.01,1.84,1.96,3.11,2.99,,,,,
July,,,,,,,,,,,,,,,,3.02,2.44,2.09,2.23,2.55,1.97,1.48,4.55,4.51,0.79,,,,,
August,,,,,,,,,,,,,,,,5.36,0.54,4.72,2.69,6.92,4.68,6.19,3.19,3.17,0.4,,,,,
September,,,,,,,,,,,,,,,,4.65,1.79,2.37,2.19,7.13,2.75,3.49,3.31,4.19,2.17,,,,,
October,,,,,,,,,,,,,,,,1.58,1.83,5.5,8.69,1.69,2.07,5.2,2.49,4.34,2.54,,,,,
November,,,,,,,,,,,,,,,,5.4,3.63,2.53,4.47,6.7,5.22,4,2.73,6.46,3.18,,,,,
December,,,,,,,,,,,,,,,,4.83,3.26,4.74,3.18,4.11,4.02,4.6,1.54,3.26,6.04,,,,,
Total,,,,,,,,,,,,,,,,41.61,29.72,38.57,33.73,44.86,40.29,42.06,28.7,41.74,31.1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downdrew House Codden Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Not printed Low - deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
