"CUPAR (OVER RANKEILLOUR)",,,,,,,,,,,,
Grid ref,NO327135,Long,-3.089367,Lat,56.309116,,,,,,,
Station no,5495,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.70,,,,1.58,2.24,3.67,2.07,1.01,3.44,,
February,2.98,,,,2.03,1.48,3.19,3.38,0.45,2.48,,
March,3.05,,,,2.28,1.39,1.65,2.33,1.49,1.98,,
April,1.96,,,,0.99,0.87,0.61,1.49,2.80,1.96,,
May,2.05,,,,2.15,0.59,1.40,2.74,0.55,1.57,,
June,1.89,,,,0.90,2.90,0.90,3.05,3.23,1.51,,
July,4.44,,,,1.24,4.34,5.52,5.43,4.53,3.39,,
August,3.20,,,,0.51,6.01,4.46,3.04,0.53,4.31,,
September,1.81,,,,1.19,3.90,1.45,2.03,0.60,1.40,,
October,0.32,,,,1.69,1.83,2.00,1.63,1.50,6.01,,
November,5.25,,,,1.46,0.59,1.80,0.83,6.65,3.21,,
December,2.23,,,,4.08,2.90,3.58,5.25,5.13,2.19,,
Total,32.88,,,,20.10,29.04,30.23,33.27,28.47,33.45,,
Calc annual,32.88,0.00,0.00,0.00,20.10,29.04,30.23,33.27,28.47,33.45,,
Difference,0.00,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
