"LOWESTOFT (ST MARGARET'S ROAD)",,,,,,,,,,,,
Grid ref,TM548942,Long,1.751487,Lat,52.486163,,,,,,,
Station no,1377/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.91,2.38,0.70,1.61,1.89,3.78,1.37,2.06,2.66,3.98,,
February,3.47,1.98,1.15,1.37,1.72,2.04,2.21,2.75,0.16,1.18,,
March,2.84,2.62,0.35,1.73,1.45,0.60,1.74,1.52,1.17,1.57,,
April,3.68,0.72,1.87,0.35,0.37,0.97,0.41,1.28,2.02,0.46,,
May,1.67,1.01,1.41,1.56,1.52,0.61,1.37,2.98,0.39,0.48,,
June,2.06,1.42,1.58,2.16,2.18,1.50,1.20,3.29,0.40,1.30,,
July,2.84,1.66,2.72,1.23,0.23,1.57,2.45,2.05,0.89,2.59,,
August,2.31,3.40,1.92,4.80,1.40,3.92,1.71,2.38,1.67,2.94,,
September,1.96,2.38,1.57,1.19,1.15,1.08,3.29,1.53,0.01,5.05,,
October,0.70,2.59,1.70,1.93,4.06,3.54,1.34,2.13,2.83,6.63,,
November,3.57,4.30,1.49,4.54,0.63,0.99,1.59,1.05,2.95,3.69,,
December,1.49,2.84,0.83,1.62,1.10,0.99,2.00,3.02,2.83,3.78,,
Total,28.50,27.30,17.29,24.09,17.70,21.59,20.68,26.04,17.98,33.65,,
Calc annual,28.50,27.30,17.29,24.09,17.70,21.59,20.68,26.04,17.98,33.65,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
