KILLEARN (THE OAKS),,,,,,,,,,,,,,,,,,,,
Grid ref,NS 522862,Long,-4.37311,Lat,56.0459,Elevation,350,ft,,,,,,,,,,,,
Station no,5373/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,1.8,5.6,6.91,7.24,4.79,1.74,1.85,4.55,6.54,6.01,3.53,7.63,6.08,7.6,5.59,4.4
February,,,,,5,3.81,5.71,3,6.3,2.08,5.48,1.82,4.87,2.01,8.23,3.21,1.19,5.42,4.81,5.37
March,,,,,2.49,3.08,1.88,4.2,3.68,3.81,2.94,2.29,3.26,0.49,4.16,3.41,4.29,4.36,1.8,3.1
April,,,,,3.46,1.97,2.42,0.59,2.32,4.22,1.28,2.81,3.71,3.49,2.81,1.36,6.78,2.67,4.87,2.92
May,,,,,0.38,1.64,2.39,4.04,1.61,1.37,2.89,3.07,3.62,3.2,4.78,1.82,4.59,1.63,2.79,1.7
June,,,,,4.78,2.2,3.14,6.65,2.42,0.95,0.56,2.14,4.25,4.48,4.5,3,3.46,5.56,1.41,2.22
July,,,,,1.33,5.08,3.68,3.91,6.16,4.29,3.49,2.85,1.42,2.91,4.01,3.7,4.02,3.89,3.13,6.51
August,,,,,3.22,2.78,4.59,2.01,2.67,1.96,4.82,5.38,6.19,2.23,2.17,3.66,0,6.68,4.96,6.1
September,,,,,6.2,4.34,3.46,3.85,2.25,3.26,1.67,5.86,4.73,4.33,6.44,6.39,5.28,5.96,2.33,8.89
October,,,,,9.88,5.04,3.94,8.78,4.28,7,5.2,5.92,9.36,5.84,6.21,0.46,2.55,7.58,7.21,5.32
November,,,,,3.51,3.79,0.62,9.85,8.07,7.61,4.99,0.87,2.96,7.33,0.64,7.68,6.35,3.55,5.03,3.56
December,,,,,3.84,7.49,2.78,4.95,3.8,5.34,3.66,7.76,2.96,7.2,5.51,5.26,1.71,8.28,8.96,1.98
Total,,,,,45.89,46.82,41.52,59.07,48.35,43.63,38.83,45.32,53.87,49.52,52.99,47.58,46.3,63.18,52.89,52.07
,,,,,,,,,,,,,,,,,,,,
Station no,5373/7,,,,,,,,,,,,,,,,,,,
Midas,13760,,,,,,,,,,,,,,,,,,,
Hyd Stn,663703,,,,,,,,,,,,,,,,,,,
