BRISTOL-OVER-COURT-PARK (Almondsbury Vicarage),,,,,,,,,,
Grid ref,ST604840,Long,-2.5725,Lat,51.5536,Elevation,144,ft,,
Station no,RR2003,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,3.08,3.56,1.43,1.87,2.63,3.91,0.56,2,0.52,
February,0.56,0.03,2.13,3.93,3.43,0.16,0.55,2.98,1.41,
March,0.91,3.05,0.83,0.41,2.15,2.58,2.95,3.83,0.65,
April,1.16,1.48,0.97,0.14,2.17,2.69,0.72,3.09,1.77,
May,2.02,3.91,1.21,1.17,2.12,1.29,0.22,2.7,3.42,
June,2.78,1.45,2.37,1.73,2.19,0.59,1.35,3.35,,
July,3.04,2.68,3.81,2.73,3.46,3.93,0.97,1.86,,
August,2.55,7.09,3.74,3.17,2.71,4.19,2.12,5.55,,
September,1.17,2.18,2.85,1.57,3.12,1.08,7.08,3.45,,
October,1.1,7.58,2.24,5.5,4.3,3.07,4.57,1.42,,
November,2.36,2.78,2.67,2.12,5.49,4.59,0.79,1.67,,
December,1.14,4.09,0.99,2.59,2.76,2.41,3.48,4.25,,
Total,21.87,39.88,25.24,26.93,36.53,30.49,25.36,36.15,,
,,,,,,,,,,
