BRISTOL-OVER-COURT-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST587822,Long,-2.596855,Lat,51.537182,Elevation,148,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,4.8,,,,,,,,,,,0.57,1.3,2.88,3.63,4.46,2.78,4.8,2.17,1.19,0.86,3.62,3.6,1.52,2.13,2.91,4.05,0.6,2.12,0.72,5.31,4.97,2.3,2.13,3.99,3.79,0.63,4.68,1.86,2.09,1.65,2.79,0.91,,,1.48,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,3.7,,,,,,,,,,,5.13,3.73,2.54,3.34,2.13,3.32,0.9,0.69,1.73,1.35,0.6,0.01,2.22,4.46,4,0.16,0.57,3.46,1.67,3.76,6.92,1.22,1.24,1.64,4.61,0.67,2.4,1.58,1.58,0.7,4.1,2.05,,,3.22,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,1.5,,,,,,,,,,,2.16,1.96,1.83,1.03,3.07,1.38,2.9,2.2,3.47,4.97,1.03,2.99,0.89,0.87,2.62,2.82,3.08,4.08,1.05,1.27,1.55,2.46,2.07,4.54,1.75,4.43,2.39,1.09,2.69,3.52,0.67,2.43,,,4.71,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1,,,,,,,,,,,2.48,0.56,4.12,0.86,1.29,2.12,2.02,1.94,1.95,4.73,1.64,1.59,1.09,0.18,2.48,2.91,0.74,3.44,2,3.04,1.21,3.24,1.91,3.04,2.06,2.71,1.11,2.91,2.74,2.61,2.52,1.63,,,1.6,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,5.1,,,,,,,,,,,1.41,1.64,2.32,1.72,1.48,3.21,5.1,2.37,1.73,2.83,2.09,4.06,1.37,1.25,2.28,1.92,0.27,1.72,3.88,2.14,2.59,1.25,2,4.54,2.84,0.14,2.06,2.54,2.01,1.31,1.84,0.95,,,1.8,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.3,,,,,,,,,,,2.32,2.99,3.55,3.22,4.13,1.64,0.99,1.13,3.35,0.66,2.91,1.46,2.75,1.24,2.39,0.69,1.54,3.52,1.29,1.26,2.17,2.24,3.36,3.71,1.46,4.08,2.68,3.7,2.2,3.07,5.69,2.58,,,2.26,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,0.8,,,,,,,,,,,5.16,2.26,6.05,3.52,3.92,1.01,3.92,1.26,5.47,3.17,3.5,3.12,3.75,,4.64,4.25,0.94,2.32,0.91,0.99,1.07,2.66,1.27,2.21,3.5,0.72,1.12,2.29,2.37,2.66,2.62,0.01,,,5.13,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,1.7,,,,,,,,,,,0.46,5.69,3.83,1.73,2.57,2.99,2.17,2.41,2.18,2.53,3.24,6.72,4.58,,3.07,4.73,2.44,6.14,3.88,2.23,2.71,2.79,4.2,3.7,2.78,4.02,1.68,2.19,5.36,3.23,6.46,2.1,,,2.64,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,5.2,,,,,,,,,,,3.53,1.9,3.16,4.97,1.89,4.31,2.55,3.37,1.22,2.36,1.48,2.44,3.32,,3.49,1.16,7.12,3.86,1.58,2.58,0.76,2.11,2.12,3.6,1.84,1.02,0.69,0.69,3.01,3.75,0.39,1.61,,,2.28,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,3.3,,,,,,,,,,,6.03,2.4,7.85,2.69,1,3.75,5.29,2.47,0.88,3.04,1.51,8.38,2.67,,4.28,3.16,4.71,1.63,7.3,3.26,4.05,1.44,2.39,8.21,0.93,1.71,5.67,6.26,2.74,5.5,5.37,2.89,,,1.94,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
