SAFFRON WALDEN NEWPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL520341,Long,0.212008,Lat,51.984567,Elevation,208,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,2.32,1.73,3.97,1.82,2.07,0.17,1.28,1.36,1.68,2.12,2.05,3.16,2.03,0.78,0.69,2.03,1.79,0.82,1.84,1.75,2.42,0.87,3.14,0.79,2.31,3,0.55,0.6,2.02,2.13,1.26,3.55,0.97,1.1,0.86,1.72,1.47,3.32,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,0.83,2.08,2.37,1.34,3.04,2.45,3.02,1.51,3.93,0.59,2.7,0.23,0.69,1.12,1.72,0.92,0.02,1.61,2.77,1.56,0.37,0.61,2.08,0.77,1.41,5.53,1.12,0.94,0.68,3.25,1.36,2.1,1.32,1.22,0.39,2.91,1.2,1.39,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,0.48,2.87,2.41,1.68,1.13,0.91,1.43,1.61,0.99,1,1.02,2,1.33,3.77,1.56,3.02,1.69,1.3,0.32,1.03,2.15,3.66,3.62,1.56,1.08,0.84,2.46,1.17,2.34,1.4,2.5,1.79,0.94,2.36,3.42,0.79,2.39,3.16,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.16,3.27,2.26,1.43,2.63,2.15,1.33,2.88,2.27,1.08,1.53,1.32,0.82,1.82,2.7,0.76,0.64,1.36,0.17,1.39,1.05,0.74,1.6,1.6,2.55,0.9,1.88,0.62,1.74,0.83,1.79,1.04,3.23,3.63,1.79,2.01,0.95,0.21,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,1.84,0.57,2.51,3.75,3,0.43,1.05,1.21,1.26,0.42,3.03,3.19,2.16,0.87,3.5,2.13,2.87,1.3,1.13,2.54,1.46,0.31,2.05,3,2.56,1.3,2.27,3.34,2.31,1.39,1.09,1.08,2.84,1.03,1.22,2.49,2.41,1.18,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,3.08,1.33,1.52,1.91,4.58,2.95,1.98,2.65,2.44,1.65,0.86,0.59,0.41,1.75,2.27,2.4,1.22,2.16,0.66,1.54,0.51,2.73,2.13,2.99,1.74,2.55,1.35,2.36,5.71,1.05,3.13,2.96,1.83,1.41,4.29,1.36,2.65,2.62,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,5.33,0.87,3.41,0.34,3.74,3.96,1.6,2.37,2.92,1.65,1.01,2.16,1.4,3.8,2.88,5,5.32,2.87,2.79,2.66,3.95,0.55,1.99,0.83,3.46,1.17,1.96,1.55,4.36,2.21,1.64,0.75,2.36,2.75,3.36,1.93,0.31,1.54,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,1.11,1.48,4.35,3.48,3.2,1.24,4.64,1.48,1.37,1.05,1.56,2.06,2.27,2.75,2.53,2.13,3.77,2.47,2.6,2.33,3.02,2.57,2.43,1.42,1.76,3.33,2.02,3.26,3.08,2.46,2.21,0.91,2.19,2.66,2.42,2.02,0.42,5.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,3.37,4.62,1.22,1.03,3.01,2.9,2.26,1.97,3.32,1.15,3.81,1.14,2.71,1.72,2.03,0.76,0.88,2.97,1.18,1.49,0.96,6.05,2.6,0.2,2.77,0.66,1.35,0.75,3.14,1.34,1.35,1.22,0.43,1.35,2.05,1.17,1.28,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,3.25,1.2,1.08,2.2,0.64,4.92,2.49,4.82,2.17,2.11,5.3,2.54,1.72,0.95,4.27,1.89,5.09,4.76,2.47,2.69,1.93,3.52,0.71,2.61,2.43,1.97,1.96,1.29,5.2,1.13,1.29,3.76,2.48,1.31,4.31,1.86,3.3,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
