STROXTON RECTORY,,,,,,,,,,,,,,,,,,
Grid ref,SK907312,Long,-0.654,Lat,52.871,Elevation,350,ft,,,,,,,,,,
Station no,RR4178,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928
January,1.23,2.93,3.52,1.49,2.60,1.00,2.02,2.05,3.49,2.58,2.00,2.62,1.43,2.05,1.79,2.89,1.88,3.47
February,1.53,1.52,0.81,1.21,2.75,4.86,0.75,1.57,2.81,1.18,0.31,2.84,3.73,0.94,2.17,1.16,1.95,1.65
March,1.67,2.90,3.37,2.57,0.93,4.61,1.16,0.84,3.79,2.71,0.79,1.83,1.60,0.52,0.96,0.54,2.16,1.41
April,0.75,0.20,2.17,1.33,0.92,1.17,1.37,1.98,1.73,4.42,0.97,3.12,1.76,1.52,1.41,2.07,1.91,0.85
May,2.24,2.97,2.28,2.25,1.72,2.25,2.13,1.46,2.03,1.42,1.65,1.67,1.68,3.52,2.46,3.12,0.98,1.72
June,2.06,3.76,1.20,2.29,1.06,1.55,1.32,0.29,0.83,2.69,0.72,1.17,0.82,2.78,0.17,2.35,3.98,2.73
July,0.15,5.13,0.70,2.61,5.86,2.16,1.66,2.67,4.87,2.69,0.34,5.38,3.45,3.29,1.56,2.44,2.15,1.57
August,1.23,5.64,0.76,1.28,2.18,3.60,6.41,1.51,2.78,0.96,2.75,6.09,1.97,2.46,1.13,2.74,2.72,2.39
September,1.46,1.18,2.24,1.05,0.92,1.77,1.28,3.92,1.74,1.40,0.63,2.00,2.21,2.55,3.37,1.48,4.54,0.61
October,2.44,2.13,3.13,2.21,1.17,1.86,3.38,1.46,1.85,1.33,1.33,1.06,2.53,4.74,2.76,2.56,2.25,4.02
November,2.40,2.18,2.20,3.28,2.61,3.34,1.08,1.87,1.86,0.90,1.44,1.28,2.08,1.73,2.47,2.97,3.06,2.58
December,4.11,3.63,0.88,4.74,4.99,2.65,0.66,2.69,3.59,2.23,1.47,3.35,2.57,2.03,2.17,0.85,3.50,1.93
Total,21.27,34.17,23.26,26.31,27.71,30.82,23.22,22.31,31.37,24.51,14.40,32.41,25.83,28.13,22.42,25.17,31.08,24.93
,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/026,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/026,,,,,,,,,,,,,,,,,,
