DORCHESTER-QUEENS-AVENUE-(KINGSCOTE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY687899,Long,-2.44453,Lat,50.70792,Elevation,260,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,5.61,1,3.41,0.89,1.2,3.64,6.42,5.44,4.72,5.68,2.27,5.39,5.85,5.69,2.57,7.13,1.64,5.82,2.94,3.8,2.56,3.1,0.83,6.65,5.06,,,
February,,,,1.34,3.39,4.96,4.3,1.27,1.73,4.17,0.67,0.13,4.38,8.21,1.05,5.19,2.39,3.92,3.58,1.81,1.27,2.88,0.04,4.71,0.11,3.43,4.04,7.03,,,
March,,,,2.5,5.16,1.22,2.97,3.25,1.6,5.06,3.57,1.72,3.93,1.89,2.25,0.56,0.77,4.76,4.01,0.23,1.94,1.38,2.47,3.6,3.31,0.94,5.99,4.36,,,
April,,,,3.19,0.92,1.07,0.41,1.3,1.72,2.58,4.98,1.24,3.59,3.99,3.64,2.97,3.31,2.6,2.05,0.92,3.24,2.94,3.36,2.53,2.31,4.74,2.25,2.77,,,
May,,,,2.5,1.65,2.71,1.9,1.5,1.5,0.65,1.83,2.61,1.08,2,5.81,4.87,2.43,1.14,1.87,2.5,2.69,3.82,4.08,2.18,0.92,1.53,0.72,3.9,,,
June,,,,0.75,0.46,0.94,1.56,1.12,1.2,0.64,2.81,0.51,1.09,0.52,1.73,0.4,3.14,2.76,2.44,1.62,0.81,3.33,3.11,0.56,1.12,4.37,1.96,0.84,,,
July,,,,0.37,4.39,4.29,1.1,2.1,4.44,2.3,6,0.83,5.78,1.2,4.78,3.77,1.73,3.19,2.39,1.71,2.5,3.3,1.82,3.06,0.2,,5.56,4.09,,,
August,,,,1.39,2.72,1.35,3.93,5.14,2.28,3.63,1.7,2.29,3.45,2.43,3.21,4.71,0.98,4.45,4.07,2.22,4.16,4.03,1.15,0.85,3.67,3.58,0.23,1.33,,,
September,,,,3.97,1.89,2.2,2.34,2.27,8.92,2.19,2.05,1.1,2.33,4.95,4.65,4.25,0.82,7.21,2.59,0.57,4.08,2.46,4.57,2.92,3.76,,2.77,2.9,,,
October,,,,4.51,3.39,5.55,6.58,5.16,2.05,2.53,3.09,1.19,1.79,6.68,6.47,5.63,4.36,3.21,7.82,4.51,2.75,0.55,7.65,2.21,2.18,5.8,2.04,4.83,,,
November,,,,3.58,5.26,3.14,4.86,1.35,2.37,2.98,2.14,4.01,2.57,2.09,5.25,4.06,12.11,4.12,4.11,11.24,7.01,6.19,2.6,0.92,2.09,,4.02,2.75,,,
December,,,,2.08,8.33,9.29,5.62,1.32,3.6,5.78,4.92,1.97,6.37,4.48,6.04,5.81,0.55,5.14,3.91,8.34,5.8,1.29,1.87,1.32,10.49,6.11,3.99,4.15,,,
Total,,,,31.79,38.56,40.13,36.46,26.98,35.05,38.93,39.2,22.32,42.04,40.71,50.27,48.07,38.28,45.07,45.97,37.31,42.07,35.11,36.52,27.42,33.26,,40.22,44.01,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914 Not printed Bad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915 Not printed Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 Inspection On western border of lawn Hedge serves as useful shelter to gauge Keen observer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 Jan 18 Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values rejected from survey 1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 July Sept Nov Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Letter said proposing to move gauge at end of year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Station terminated. Observer died,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Given alt 226 is low for Queens Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
